Title#0,"""暗影渦巻く壊れた世界"""
Explanation#0,"""惑星ナベリウスをはじめとした<br>複数の惑星に出現した壊世区域。<br>かの場所に敵性反応が続々と出現している。<br>本任務では、各所の敵性反応を集中的に<br>撃退することが目的となる。<br>少数精鋭の部隊を編成し、各惑星を転戦<br>現象の調査と敵勢力の撃退を行え。<br>――――――――――――――――――――<br>各惑星に現れた敵の撃退でクリア"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""これより、惑星ナベリウス<br>壊世区域への転送を開始します！"""
NpcComMsg2#0,"""今までにない異常な反応で<br>時空系のパラメータが無茶苦茶です……<br>慎重に調査を進めていきましょう。"""
Area0S#0,"""壊世区域：森林 エリア1"""
Area0L#0,"""惑星ナベリウス 壊世区域：森林 エリア1"""
Area1S#0,"""壊世区域：地下坑道 エリア2"""
Area1L#0,"""惑星リリーパ 壊世区域：地下坑道 エリア2"""
Area2S#0,"""壊世区域：火山洞窟 エリア3"""
Area2L#0,"""惑星アムドゥスキア 壊世区域：火山洞窟 エリア3"""
Area3S#0,"""壊世区域：遺跡 エリア4"""
Area3L#0,"""惑星ナベリウス 壊世区域：遺跡 エリア4"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
