MyFashion_RenameError01#0,"""この名前は使用することができません。"""
MyFashion_ServerError01#0,"""サーバーに問題が発生したため、<br>処理を実行できませんでした。<br><br>しばらく時間をおいてから、<br>再度お試しください。"""
MyFashion_ServerError02#0,"""データベースに問題が発生したため、<br>処理を実行できませんでした。<br><br>しばらく時間をおいてから、<br>再度お試しください。"""
MyFashion_ServerError03#0,"""サーバーに予期せぬ問題が発生したため、<br>処理を実行できませんでした。<br><br>しばらく時間をおいてから、<br>再度お試しください。"""
MyFashion_ServerError04#0,"""選択されたスロットはデータに問題があるため、<br>実行できませんでした。"""
MyFashion_ServerError05#0,"""装備エラー<br>実行できませんでした。"""
MyFashion_ServerError06#0,"""所持品エラー<br>実行できませんでした。"""
MyFashion_ServerError10#0,"""サーバーに予期せぬ問題が発生したため、<br>処理を実行できませんでした。<br><br>しばらく時間をおいてから、<br>再度お試しください。"""
MyFashion_ServerError11#0,"""サーバーに予期せぬ問題が発生したため、<br>処理を実行できませんでした。<br><br>しばらく時間をおいてから、<br>再度お試しください。"""
MyFashion_EquipError#0,"""以下の理由により、<br>装備できないアイテムがありました。"""
MyFashion_Toast_Set#0,"""「$(0)」を登録しました。"""
MyFashion_Toast_Delete#0,"""「$(0)」を削除しました。"""
MyFashion_Toast_Equip#0,"""「$(0)」を適用しました。"""
MyFashion_EquipError_Toast#0,"""アイテムパック内にある同じ種類の衣装を適用しました。"""
MyFashion_Toast_Error_IllegalZone_List#0,"""問題が発生したため実行できませんでした。"""
MyFashion_Toast_Error_IllegalZone_Regist#0,"""問題が発生したため実行できませんでした。"""
MyFashion_Toast_Error_IllegalZone_Remove#0,"""問題が発生したため実行できませんでした。"""
MyFashion_Toast_Error_IllegalZone_Rename#0,"""問題が発生したため実行できませんでした。"""
MyFashion_Toast_Error_IllegalZone_Change#0,"""マイファッションの変更に失敗しました。"""
MyFashion_Toast_Error_IllegalZone_Convert#0,"""問題が発生したため実行できませんでした。"""
MyFashion_ErrorTitle#0,"""マイファッションエラー"""
MyFashion_EquipError01#0,"""・予期せぬエラーが発生しました。"""
MyFashion_EquipError02#0,"""・アイテムパックが一杯です。"""
MyFashion_EquipError03#0,"""・装備条件を満たしていません。"""
MyFashion_EquipError04#0,"""・アイテムパックに存在しません。"""
OtherFashion_PremiumError#0,"""プレミアム有効期間切れのため、<br>このスロットには保存できません。"""
MyFashion_ServerError20#0,"""アイテムパックの空き容量不足のため、<br>ファッションアイテムを取り外せません。"""
