un_012500_0010#0,"""<%me>......<br>那個，有事找我嗎？"""
un_012500_0020#0,"""你問我在做什麼嗎？<br>如你所見，正在戰鬥。<br>這有什麼問題嗎？"""
un_012500_0030#0,"""不要太勉強"""
un_012500_0040#0,"""身體要不要緊？"""
un_012500_0050#0,"""我並沒有勉強。<br>......傷口恢復的也很快，<br>應該說，簡直非常的輕鬆。"""
un_012500_0060#0,"""奇妙的是，<br>狀況還不壞。<br>反而比以前更好。"""
un_012500_0070#0,"""而且，身體即使很痛苦，<br>但我已經是孤家寡人了......<br>更有需要增加實力。"""
un_012500_0080#0,"""是啊，如果從開始就這樣，<br>就不會任何人事物，<br>也不會有痛苦了......"""
un_012500_0090#0,"""都要等到失去了，才會曉得。<br>這也算是善惡到頭終有報吧。"""
un_012500_0100#0,"""......不要太接近我，<br>這樣對你比較好。"""
un_012500_0110#0,"""不。為了你好，<br>我必須重重警告你。"""
un_012500_0120#0,"""不要再接近我。"""
un_012500_0130#0,"""你，會喪命的。"""
un_012500_0010#1,"""<%me>様……<br>あの、何用でしょうか？"""
un_012500_0020#1,"""何をしていたのか？<br>見ての通り、戦闘です。<br>それが何か問題でも？"""
un_012500_0030#1,"""無理をするな"""
un_012500_0040#1,"""身体は大丈夫なのか？"""
un_012500_0050#1,"""無理なんてしていません。<br>……怪我の治りも早かったですし<br>むしろ、余裕がありすぎる程です。"""
un_012500_0060#1,"""不思議なことですが<br>そこまで調子が悪くないのです。<br>むしろ、前よりも良いぐらいに。"""
un_012500_0070#1,"""それに、身体が辛かったとしても<br>もう、私は一人なのですから……<br>力をつけねばならないのです。"""
un_012500_0080#1,"""そう、最初からそうしておけば<br>誰も何も失うこともなくて<br>辛いことだって何もなかった……"""
un_012500_0090#1,"""気付くのはいつも、なくしたあと。<br>因果応報というやつなのでしょうか。"""
un_012500_0100#1,"""……貴方様も、私にはあまり<br>近づかない方が身のためですよ。"""
un_012500_0110#1,"""いえ、貴方様のためにも<br>はっきりと進言させてもらいます。"""
un_012500_0120#1,"""私に近付かないでください。"""
un_012500_0130#1,"""死にますよ。"""
