un_065090_0010#0,"""あのね<br><%me>。"""
un_065090_0020#0,"""わたし、ちょっとだけ<br>怒ってるんだよ？"""
un_065090_0030#0,"""シバから出た【深遠なる闇】が<br><%me>に移ったあと<br>一人でどこかへ消えちゃって……"""
un_065090_0040#0,"""世界を守るために、自分を犠牲にして。<br>そういうの、やめようって……<br>話し合ったよね？"""
un_065090_0050#0,"""どっちかを残していくのは駄目って……<br>約束、したよね？"""
un_065090_0060#0,"""マトイの真似をしただけだよ"""
un_065090_0070#0,"""……ごめん"""
un_065090_0080#0,"""うぅ……<br>それを言われると反論できない……"""
un_065090_0090#0,"""で、でも！<br>わたしもあなたもちゃんと戻ってきたし<br>今はこうやって、一緒にお話できる。"""
un_065090_0100#0,"""……ふふ。<br>わたしの方こそ、ごめんね。<br>怒ってるのはちょっとだけ。"""
un_065090_0110#0,"""だって、ちゃんと<br>無事に戻ってきてくれたんだもん。<br>今はこうして、一緒にお話できる。"""
un_065090_0120#0,"""わたしたち、最初からずっと一緒で<br>近いからこそ、見えなくなってることも<br>あるんだと思う……"""
un_065090_0130#0,"""だからこそ……<br>ふたりで、ちゃんと話し合おう？<br>ふたりで、ちゃんと考えよう？"""
un_065090_0140#0,"""あなたも、わたしも……<br>誰ひとりとして、犠牲にならず<br>みんなが笑顔でいられるように。"""
un_065090_0150#0,"""これからも<br>ずっと一緒だからね！"""
un_065090_0160#0,"""大好きだよ！<br><%me>！"""
