msc_012300_0010#0,"""この勝利はお前たちのおかげだ。改めて礼を言わせてくれ。"""
msc_012300_0020#0,"""ううん、ナーデレフの歌があったからこそ、勝てたんだよ。"""
msc_012300_0030#0,"""それとて……マノンの気づきがなければ<br>使うことはできなかった。"""
msc_012300_0040#0,"""まだドールズの脅威が完全に<br>去ったわけではないが……。"""
msc_012300_0050#0,"""これでリテムシティも少しは落ち着くだろう。"""
msc_012300_0060#0,"""今度は私たちが力を貸す番だ。<br>セントラルとの協力体制をとらせてくれ。"""
msc_012300_0070#0,"""え、ホントに！？\u3000ありがとう！"""
msc_012300_0080#0,"""もうクロフォードとも話は進めている。<br>これから、よろしく頼む。"""
msc_012300_0090#0,"""こちらこそ！"""
msc_012300_0100#0,"""では、宴を楽しんでくれ。"""
msc_012300_0110#0,"""今日は大いに盛り上がってくれ。"""
msc_012300_0120#0,"""素敵……。"""
msc_012300_0125#0,"""いい歌だったわ。"""
msc_012300_0130#0,"""よしてくれ。大勢の前で歌うのは苦手なんだ。"""
msc_012300_0140#0,"""ふだんは、あんなに堂々としてるのに。"""
msc_012300_0150#0,"""あはは。"""
msc_012300_0160#0,"""ふふっ。"""
msc_012305_0170#0,"""また来てくれ。いつでも迎えよう。"""
msc_012305_0180#0,"""世話になったな。"""
msc_012305_0190#0,"""必ずまた会おうぞ！"""
msc_012305_0200#0,"""待ってるからな！"""
msc_012305_0210#0,"""う、うん、ありがとう。"""
msc_012305_0220#0,"""また、私の話でも聞きに来てくれ。"""
msc_012305_0230#0,"""さあ、セントラルシティへ帰ろう！"""
