Title#0,"""巧克力的行蹤"""
Explanation#0,"""嗨～，這次的委託不是來自ARKS總部<br>而是來自我！<br>聽說娜烏拉的蛋糕店限期在<br>安杜斯奇亞行星的火山洞窟成立臨時分店！<br>適逢情人節期間<br>女性成員們似乎都很想去！<br>如果邀她們一起去<br>她們應該會很開心！<br>――――――――――――――――――――<br>失敗條件/超過限制時間"""
Title#1,"""チョコレートの行方"""
Explanation#1,"""はいはーい、この依頼もアークスではなく<br>わたしことシーからお伝えしまっす！<br>再びナウラのケーキ屋が期間限定開店中！<br>惑星アムドゥスキアの火山洞窟だってさ！<br>バレンタインの時期ということもあって<br>女性のみんなが行きたがってるみたいっ！<br>誘い合って連れて行ってあげると<br>喜んでくれるかもよっ！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""獲得情人節Pt！"""
SimpleExplanation#1,"""バレンタインPtをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
