name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""Card ใบนี้จะเกี่ยวกับการปลดล็อค <br>Extra Class และเรื่องที่เกี่ยวข้อง"""
text03#0,"""และภารกิจแรกนี้จำเป็นต้อง <br><c bb0000>รายงานตัวกับบุคคลตาม Class ที่ตัวท่านเป็น<c>"""
text04#0,"""หากเป็น Hunter ให้ไปรายงานตัวกับ Oza<br>หากเป็น Ranger ให้ไปรายงานตัวกับ Risa<br>หากเป็น Wizard ให้ไปรายงานตัวกับ Marlu"""
text05#0,"""ส่วน Samurai สามารถไปรายการตัวเพื่อรับ<br>ClientOrder กับคนไหนก็ได้"""
text06#0,"""และเมื่อท่านสามารถดำเนินภารกิจ<br>ได้จนสำเร็จลุล่วง ท่านก็จะได้รับการ<br>ประทับตราบน StampCard"""
text07#0,"""ถ้าเช่นนั้นก็พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""追加クラスの許可などに関わる<br>カードとなります。"""
text03#1,"""最初の目標ですが、<c bb0000>貴方自身の<br>クラスによって、対象者が変わる<c>ので<br>注意して下さい。"""
text04#1,"""ハンターなら、オーザさん。<br>レンジャーなら、リサさん。<br>フォースなら、マールーさんです。"""
text05#1,"""ブレイバーの場合でも、<br>いずれかのクライアントオーダーを<br>受注して下さい。"""
text06#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text07#1,"""それでは、頑張って下さい。"""
