IncidentName#0,"""กำจัด $(0)"""
TrialBeginMsg#0,"""ฉุกเฉิน! กำจัดกำลังเสริม $(0)!"""
TrialAbstract#0,"""กำจัดกำลังเสริม $(0)!"""
IncidentName#1,"""$(0)を撃破せよ！"""
TrialBeginMsg#1,"""緊急指令！新たに現れた<br>$(0)を撃破せよ！"""
TrialAbstract#1,"""新たに現れた<br>$(0)を撃破せよ！"""
NpcComOnPreBegin#0,"""ได้รับการยืนยันแล้วว่า $(0) ถูกกำจัดแล้ว ทำได้ดีมาก!<br>... หืม? เอ๊ะ? ปฏิกริยาตอบสนองขนาดใหญ่?!"""
NpcComOnBegin#0,"""ฉุกเฉิน! กำลังเสริม $(0) ปรากฏขึ้น!"""
NpcComOnSuccess#0,"""/face2 ยืนยันแล้วว่า $(0) ถูกกำจัดหมดแล้ว!<br>ขอบคุณมากที่ให้ความร่วมมือ!"""
NpcComOnPreBegin#1,"""$(0)の撃退を<br>確認しました！\u3000お疲れ様です！<br>……って、え？\u3000大きな反応！？"""
NpcComOnBegin#1,"""緊急連絡！<br>新手の$(0)を<br>確認！\u3000接近に気付けないなんて……！\u3000"""
NpcComOnSuccess#1,"""/face2 $(0)の<br>完全な撃退を確認しました！<br>各員の協力に感謝します！"""
NpcComOnPreBegin#2,"""$(0) ถูกกำจัดแล้ว<br>เฮ้อ กว่าจะหมดซะที<br>...เดี๋ยวก่อนนะ ปฏิกริยานี้มันอะไรกัน!"""
NpcComOnBegin#2,"""แจ้งหน่วยปฏิบัติการทุกคน!<br>จงกำจัดกำลังเสริม $(0) เดี๋ยวนี้!<br>ต้องมีอะไรบางอย่างผิดพลาดแน่ๆ!"""
NpcComOnSuccess#2,"""กำจัด $(0) แล้ว<br>ขอบคุณมากที่ให้ความร่วมมือ!"""
NpcComOnPreBegin#3,"""$(0)の討伐を確認。<br>やれやれ、一段落だな……<br>……いや待て、何だこの反応は！"""
NpcComOnBegin#3,"""緊急指令だ、新手の<br>$(0)が出現！<br>ここまで接近に気付かないとは……！"""
NpcComOnSuccess#3,"""$(0)の討伐を<br>確認した。各員の協力に感謝する。"""
NpcComOnPreBegin#4,"""/face2 สำเร็จแล้ว! $(0) ถูกกำจัดเรียบร้อย!<br>....หืม? ปฏิกริยานี้มันอะไรกัน!"""
NpcComOnBegin#4,"""หว่า! $(0)?! กำลังเสริมงั้นเหรอ?!<br>มาใกล้ขนาดนี้ตั้งแต่เมื่อไรกัน?!"""
NpcComOnSuccess#4,"""/face2 ในที่สุดก็กำจัดพวก $(0) ไปได้แล้ว<br>ขอบคุณมาก!"""
NpcComOnPreBegin#5,"""/face2 やりましたね！<br>$(0)、撃破！<br>……あれ？\u3000この反応、おっきいです！"""
NpcComOnBegin#5,"""わわっ、うわわっ！<br>$(0)！？<br>新手！？\u3000いつのまにそばに！？"""
NpcComOnSuccess#5,"""/face2 な、なんとか<br>$(0)の撃退に<br>成功しました。お疲れ様でしたー。"""
