un_045050_0010#0,"""んー……あっ！<br>来た来た！\u3000おかえり！"""
un_045050_0020#0,"""いやー、ありがとね！<br>事故った直後でパニックだったから<br>あんたがいてくれなかったら……"""
un_045050_0030#0,"""あ、あのー、エミリアさん。"""
un_045050_0040#0,"""ん、どうしたの、ヴィヴィアン？"""
un_045050_0050#0,"""<%me>さん。<br>あっけにとられちゃってるみたいです。<br>まずは自己紹介しましょう。"""
un_045050_0060#0,"""あっ、そういやそうだね。<br>んじゃ改めて……<br>あたし、エミリア・パーシバル。"""
un_045050_0070#0,"""私はヴィヴィアンといいます。<br>見ず知らずの私たちを助けてもらって<br>ありがとうございます。"""
un_045050_0080#0,"""私たちは、何と言えばいいんでしょう……<br>別の世界の住人、でしょうか。<br>いわゆる、亜空間からの来訪者でして。"""
un_045050_0090#0,"""亜空間航行の最中に、船の調子が<br>いきなり悪くなっちゃってさー。"""
un_045050_0100#0,"""ナベリウス、だっけ？<br>あの惑星に不時着しちゃったってわけ。"""
un_045050_0110#0,"""こんなこともあろうかと<br>不時着の準備をしておいてよかったわ。"""
un_045050_0120#0,"""どちらかというなら<br>不時着とか起こらないように<br>準備をお願いしたかったです……"""
un_045050_0130#0,"""船自体はナベリウスって惑星に<br>うまく隠しておいたから<br>しばらくは大丈夫かな。"""
un_045050_0140#0,"""でも、不時着のショックで<br>いろいろ壊れちゃったから<br>修理しないといけないんだ。"""
un_045050_0150#0,"""と、ゆーことで！<br>これから船の修理の目処がつくまで<br>ここに滞在することになったから！"""
un_045050_0160#0,"""こちらの管理者さんのご厚意に<br>甘える形で恐縮なのですが……<br>どうぞよろしくお願いします。"""
