un_055020_0010#0,"""あ、<%me>。"""
un_055020_0020#0,"""よっ、相棒。<br>ちょうどマトイと会ってさ<br>昔話してるんだ、一緒にどうだ？"""
un_055020_0030#0,"""ふふっ、なんだかこうして<br>三人揃うと、懐かしいね。"""
un_055020_0040#0,"""これまで、いろんなことがあったけど<br>あの修了任務からまだ三年ぐらいしか<br>経ってないんだよな。"""
un_055020_0050#0,"""でもわたし<br>二人に助けてもらったときのこと<br>昨日のことのように思い出せるよ。"""
un_055020_0060#0,"""あれから、シオンさんのことがあって<br>わたしのことがあって……<br>うん、全部、ちゃんと覚えてる。"""
un_055020_0070#0,"""ユク姉を探すためにアークスになって<br>いろんなことに巻き込まれて……<br>波瀾万丈、なんてレベルじゃないな。"""
un_055020_0080#0,"""ユク姉はダークファルスだったし<br>マトイや相棒もそんな感じのことに<br>なりかけちまうしさ……"""
un_055020_0090#0,"""……こうしてまとめると<br>なんだかおれが疫病神みたいな<br>感じがしてきたぞ。"""
un_055020_0100#0,"""そ、そんなことないよ！<br>ユクリータさんだって、ちゃんと<br>戻ってきてくれたんだし！"""
un_055020_0110#0,"""ああ。<br><%me>のおかげでな。"""
un_055020_0120#0,"""わたしも。<br><%me>のおかげで<br>戻ってくることが、できた。"""
un_055020_0130#0,"""まだ一人、足りない"""
un_055020_0140#0,"""みんなの努力の賜物だ"""
un_055020_0150#0,"""……そうだな、相棒。<br>まだ、終わってないもんな。"""
un_055020_0160#0,"""……わたしも同じ気持ちだよ<br><%me>。<br>絶対に、助けてあげないとね。"""
un_055020_0170#0,"""そんな謙遜するなって。<br>おれたちは、相棒に<br>たっくさん恩があるってことさ。"""
un_055020_0180#0,"""だから、相棒のやりたいことを<br>全力で手伝うつもりだぜ。<br>頼りないかも、だけどさ。"""
un_055020_0190#0,"""それにしても、おれと相棒は<br>同期のはずだったのに、立場的には<br>ずいぶん差ができちゃったよな。"""
un_055020_0200#0,"""かたやアークスに<br>二人しか存在しない、守護輝士。<br>かたや普通のアークス、だもんなぁ。"""
un_055020_0210#0,"""……肩書きは変わっちゃったけど<br>わたしたちは、今も昔も変わらないよ。<br>一緒だった思い出だって、消えないし。"""
un_055020_0220#0,"""あ、思い出といえば……<br>歌を歌うことになったあの時のこと<br>覚えてるかな？"""
un_055020_0230#0,"""あー、あのカスラさんに騙されて<br>集合させられた時のやつな！"""
un_055020_0240#0,"""あの頃のマトイは<br>アークスになる前だったんだっけ？"""
un_055020_0250#0,"""うん、そう。<br>ちょうどアークスになるための検査とか<br>試験とかを受けてる最中だったよ。"""
un_055020_0260#0,"""<%me>。<br>あの時。とってもおかしかったんだよ。<br>みんなが一つの場所に集められてさ。"""
un_055020_0270#0,"""テオドールなんか<br>すっごいの歌ってたんだぜ。<br>今度からかってやれよ、相棒。"""
