linewindow#0,"""<br>關於『完美防禦』<br>"""
text00#0,"""關於『完美防禦』"""
text01#0,"""教學<br>關於『完美防禦』技能的說明"""
text02#0,"""即時防禦是一種透過技能取得的能力。"""
text03#0,"""使用劍系的裝備並採取防禦時，<br>通常會受到輕微的傷害。"""
text04#0,"""但是，如果取得即時防禦的技能，<br>在受到敵人的攻擊之前，看準時機執行『防禦』，<br>就會發動『即時防禦』，且傷害值為0。<br>即時防禦不需要消耗PP。<br><br>進一步而言，更可以透過這個技能對敵人進行反擊。<br>在近距離戰鬥時，這是一個很優秀的技能"""
text101#0,"""嗯。還算可以，但是你個人覺得<br>還能進行更多的冒險對吧？"""
text102#0,"""但沒辦法，只能說點到為止<br>這次就到這裡結束吧！"""
linewindow#1,"""<br>『ジャストガード』について<br>"""
text00#1,"""『ジャストガード』について"""
text01#1,"""チュートリアル<br>スキル『ジャストガード』について説明します。"""
text02#1,"""ジャストガードとは、スキルで取得できる能力の１つです。"""
text03#1,"""ソード系の装備で、ガードを行うと通常は<br>軽微なダメージを受けてしまいます。"""
text04#1,"""しかし、ジャストガードのスキルを取得していれば<br>敵からの攻撃を受ける直前に、タイミングよく『ガード』を行うことで<br>『ジャストガード』が発生し、ダメージを０にすることができます。<br>ジャストガードは、ＰＰの消費もなく使えます。<br><br>さらに、敵にガードアーツによる反撃ダメージを与えることができる<br>近接戦闘において、優秀なスキルです。"""
text101#1,"""うん。まずまずだ。だが個人的には<br>もっと冒険してもよかったと思うぞ？"""
text102#1,"""まあ済んだことを言っても仕方ないが<br>今回はこれで終わりだ。"""
