Title#0,"""撕裂境界的銀之鋼刃"""
Explanation#0,"""在納貝流士行星的遺跡區域中<br>突然出現了機甲種、龍族或海王種等等<br>各式各樣的敵人。而且，<br>也確認到了宛如騎士身姿的不明敵人。<br>這是否與其他行星的敵人的出現有什麼關係呢……？<br>去調查該個體，有必要的話便進行討伐吧。<br>――――――――――――――――――――<br>得到任務點數【1500】即為成功<br>失敗條件/在最深處敗北"""
Title#1,"""境界を切り裂く銀の鋼刃"""
Explanation#1,"""惑星ナベリウスの遺跡エリアにおいて<br>突如、機甲種や龍族、海王種などの<br>様々なエネミーが発生した。さらに<br>騎士のような姿の正体不明のエネミーも<br>確認されている。他の惑星のエネミーの<br>出現と何か関係があるのだろうか……？<br>該当個体を調査し、必要に応じて討伐せよ。<br>――――――――――――――――――――<br>クエストポイント【1500】達成でクリア<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""擊退敵人<br>獲得任務點數！"""
SimpleExplanation#1,"""エネミーを撃退し<br>クエストポイントをためろ！"""
a1#0,"""達成特定委託任務"""
a2#0,"""達成特定委託任務"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
