un_051010_0010#0,"""フォトンっていうものはさ<br>アカシックレコードと繋がってる素子。"""
un_051010_0020#0,"""簡単にいってしまうと<br>あれは、アカシックレコードそのもの。"""
un_051010_0030#0,"""フォトンは、どこにでもある。<br>アカシックレコードが、世界の全てを<br>記録するためにある素子だからね。"""
un_051010_0040#0,"""みんなの使い方はね、その素子を通じ<br>エネルギー発生の記録にアクセスして<br>再現しているって感じだよ。"""
un_051010_0050#0,"""フォトナーも、フォトンについては<br>エネルギーとしての利用が主だったけど<br>あれは、もっといろいろできるんだ。"""
un_051010_0060#0,"""どうやってー、ってなると<br>ちょーっと話が難しくなるけどさ。"""
un_051010_0070#0,"""シオンもきっと、伝えきれないと思って<br>エネルギーとしての利用方法だけ<br>教えたんじゃないかな。"""
un_051010_0080#0,"""…………"""
un_051010_0090#0,"""わたしは、なんとなくわかってる。<br>みんなよりもフォトンのことを<br>理解できている。"""
un_051010_0100#0,"""けど、どうしてそう使えるのか。<br>どうやったらそう使えるのか。<br>それが説明できない。"""
un_051010_0110#0,"""……わたしがこういうのを<br>びしっと説明できていたら<br>もっといい世界になってたのかな。"""
un_051010_0120#0,"""もっとみんな<br>にこにこーって笑えたのかな……<br>なーんて、思うこともあるんだよね。"""
