msc_010140_0010#0,"""待たせたな。<br>ささやかだが、宴席を用意した。"""
msc_010140_0020#0,"""“星渡り”は、温かく迎えよ。<br>ってのが、俺たちハルファ人の習わしだ。"""
msc_010140_0030#0,"""ついてきてくれ。"""
msc_010142_0040#0,"""全員ではないが、<br>エアリオタウンの住人に集まってもらった。"""
msc_010142_0050#0,"""お前さんの分だ。"""
msc_010142_0060#0,"""みんな、準備はできているな。"""
msc_010142_0070#0,"""自己紹介を……。"""
msc_010142_0080#0,"""新たな“仲間”に乾杯！"""
msc_010142_0090#0,"""乾杯！"""
msc_010142_0092#0,"""乾杯！"""
msc_010142_0094#0,"""乾杯。"""
msc_010144_0100#0,"""いい景色だろう。"""
msc_010144_0110#0,"""俺は、ここが気に入っている。<br>……こいつらの笑顔を守ってやりたいと思っている。"""
msc_010144_0120#0,"""………。"""
msc_010144_0130#0,"""“アークス”。"""
msc_010144_0140#0,"""ドールズと戦う戦士たちの呼び名だ。"""
msc_010144_0150#0,"""俺や、そこのマノンも、アークスのひとりだ。<br>……横のアイナは、“見習い”……だがな。"""
msc_010144_0160#0,"""お前さん、俺があの場にたどり着く前に、<br>ペダス・ソードと互角にわたりあっていたようだな。"""
msc_010144_0170#0,"""即戦力は大歓迎だ。"""
msc_010144_0180#0,"""俺は、お前さんにも、<br>アークスになってもらいたいと思っている。"""
msc_010144_0190#0,"""フフッ、まあ今すぐにとは言わん。<br>この地の生活に慣れてきたら、考えてみてくれ。"""
msc_010144_0200#0,"""……さて、今日はお開きにするか。"""
msc_010144_0210#0,"""……ん？"""
msc_010144_5010#0,"""うわぁつ！なんだ。どうした。何だあれは？"""
msc_010144_0214#0,"""怪我はない？"""
msc_010144_0215#0,"""ありがとう、マノン。"""
msc_010144_0220#0,"""お父さん……。"""
msc_010144_0230#0,"""まずいな……。<br>昼間のは斥候だったか。"""
msc_010144_0235#0,"""お父さん！"""
msc_010144_0250#0,"""ドールズの襲撃だ。"""
msc_010144_0260#0,"""全員、迎撃準備！\u3000急げ！"""
msc_010144_5020#0,"""いくぞー！"""
msc_010144_5030#0,"""おうっ！よっしゃー。了解。やってやる。"""
