name01#0,"""卡菲"""
11_voice_NPC_5050_104#0,"""<%me>閣下。<br>你辛苦了。<br>我是管理員卡菲。"""
text02#0,"""有鑒於你的活動內容，<br>任務難易度的「超級困難」<br>已經解放。"""
text03#0,"""不需進行難易度限制解放試練。<br>我認為以你的實力<br>應該沒問題。"""
text04#0,"""話雖如此，這裡出現的敵人強度<br>是過去的敵人所無法比擬的。<br>千萬不能大意。"""
text05#0,"""ARKS雖然為數眾多<br>但你的命只有一條。注意別太逞強。<br>......那麼，我們告辭了 """
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です。<br>管理官のコフィーです。"""
text02#1,"""貴方の活動内容を鑑みまして<br>クエストランクの「スーパーハード」が<br>解放されました。"""
text03#1,"""難易度制限解放試練は不要です。<br>貴方の実力ならば問題はないと<br>判断されました。"""
text04#1,"""とはいえ、出現するエネミーの強さは<br>これまでの比ではありません。<br>油断は禁物です。"""
text05#1,"""アークスは数多くいますが<br>貴方は一人です。無理はしないように。<br>……それでは、失礼します。 """
