st_063070_0050#0,"""そんな……！<br>……ッ！"""
st_063070_0060#0,"""許せない……！<br>ハルコタンを踏みにじって……！"""
st_063070_0070#0,"""おや、のんびりしたご到着ですね。"""
st_063070_0080#0,"""……シバ！？<br>どうしてハルコタンに！"""
st_063070_0090#0,"""鬼ごっこにもいい加減飽きましたので<br>鬼狩りをしようかと思いまして。"""
st_063070_0100#0,"""いずれは貴方がたも姿を見せるだろうと<br>思っていたのですが、遅かったですね。"""
st_063070_0110#0,"""白の民は……"""
st_063070_0120#0,"""スクナヒメは……"""
st_063070_0130#0,"""とりあえず、目についた塵は<br>掃除し尽くしたつもりですが？"""
st_063070_0140#0,"""このように、ね。"""
st_063070_0150#0,"""許さない……ッ！"""
st_063070_0160#0,"""ふふふ、穏やかではありませんね。"""
st_063070_0170#0,"""ちょこちょこ動き回る塵は面倒ですし<br>いい加減掃除してしまいましょうか。"""
st_063070_0180#0,"""<%me>さん！\u3000マトイさん！<br>敵戦力が集結しつつあります！<br>急いで撤退してください！"""
st_063070_0190#0,"""逃がしませんよ？"""
st_063070_0200#0,"""くっ……！"""
st_063070_0210#0,"""おや？"""
st_063070_0220#0,"""スクナヒメ！？"""
st_063070_0230#0,"""……"""
st_063070_0240#0,"""その感じは、この星の守護者ですね。<br>今までどこに隠れていたかは知りませんが<br>次は貴方が相手ということですか？"""
st_063070_0250#0,"""ふっ！"""
st_063070_0260#0,"""む？"""
st_063070_0270#0,"""……やりますね。<br>即座に逃げを打つとは。"""
st_063070_0280#0,"""だらしがないと<br>ヴァルナに怒られてしまいそうですよ。"""
skit01#0,"""A Way to Seal The Demise"""
skit02#0,"""黒白の地を侵す者"""
