11_voice_NPC_5002_102#0,"""อย่าไปบอกใครล่ะ!<br>ว่ากันว่า Mag เป็นที่สิ่งสะท้อนจิตใจของเจ้าของได้?"""
text02#0,"""ความสามารถของ Mag จะเปลี่ยนไปตาม<br>การดูแลของท่าน และท่านก็สามารถฝึกฝน<br>ให้พวกมันโจมตีด้วยวิธีต่างๆได้"""
text03#0,"""Mag เป็นของท่านคนเดียว<br>นั่นทำให้การวางแผนสำคัญยิ่งนัก"""
text04#0,"""ท่านรู้มั้ย เขาบอกกันว่า กินอะไรก็เป็นอย่างนั้นล่ะ?<br>มันก็เหมือนกับ Mag นั้นแหละ<br>ท่านเลี้ยงอย่างไร มันก็เป็นอย่างนั้น!"""
text05#0,"""เอาเลย ลองเลี้ยง Mag ดู<br>ข้ามั่นใจว่า ท่านจะทำให้มันมีความสุขได้!"""
11_voice_NPC_5002_102#1,"""おせっかいとか言わないの！<br>マグはね、所持者の心を映す鏡とまで<br>言われたりもするのよ？"""
text02#1,"""あげるエサによって成長する能力も<br>変わったりするし、攻撃方法なんかも<br>いろいろ調整できるし……"""
text03#1,"""自分専用のマグ！\u3000と言う意味で<br>育成方針ってのは本当に重要なんだよ。"""
text04#1,"""……こほん。熱くなっちゃった。<br>まあ、なにはともあれ、マグの育成は<br>エサをあげることからはじまるの！"""
text05#1,"""それじゃ、マグにエサをあげてみて。<br>きっと喜んでくれるから。"""
text00#0,"""วิธีนำไอเทมให้กับ Mag"""
text01#0,"""ข้อมูลเกี่ยวกับวิธีนำไอเทมให้กับ Mag<br><br>เมื่อ Mag ได้รับไอเทม มันจะสามารถเจริญเติบโตเพื่อเสริมค่าพลังให้กับผู้เล่นได้<br><br>เปิด Menu เลือกที่หัวข้อ Mags<br>ท่านจะเห็นข้อมูลของ Mag ทั้งหมด<br>จากนั้นเลือกที่หัวข้อ [ให้ไอเทม]"""
text02#2,"""เมื่อเลือกไอเทมที่จะให้ได้แล้ว ให้กดยืนยัน<br>Mag ที่ได้รับไอเทมก็จะเจริญเติบโต<br><br>ไอเทมที่ Mag ได้รับจะส่งผลถึงการเพิ่มหรือลดค่าพลังต่อผู้เล่น<br>ขึ้นอยู่กับชนิดของไอเทมนั้นๆ<br><br>และหาก Energy ของ Mag สูงจนถึงระดับหนึ่งแล้ว<br>จะไม่สามารถให้ไอเทมกับ Mag ต่อได้"""
text00#1,"""マグにアイテムを与える方法について"""
text01#1,"""マグにアイテムを与える方法<br>について説明します。<br><br>マグはアイテムを与えることで成長し、<br>パラメータの支援レベルを<br>上げることが出来ます。<br><br>メニューからマグ一覧を開き、<br>マグの情報を表示します。<br>その後「アイテムを与える」の<br>コマンドを選択しましょう。"""
text02#3,"""「アイテムを与える」を選ぶと、<br>マグにアイテムを与えて<br>成長させることができます。<br><br>アイテムの種類によって<br>どの支援レベルが上昇・下降するか異なります。<br><br>またマグのエネルギーが一定以上あると<br>アイテムを与えられないので注意しましょう。"""
