un_065060_0010#0,"""よう！\u3000相棒！<br>おかえり！"""
un_065060_0020#0,"""信じてはいたけどさ。<br>本当にあんなバケモノを倒すなんて……<br>紛れもなく、最強のアークスだな！"""
un_065060_0030#0,"""よくよく考えたら<br>修了任務で初めて会った時から<br>その片鱗は見せてたよな。"""
un_065060_0040#0,"""相棒は、襲撃してきたダーカーに<br>少しも物怖じせず「突破する」ってさ。<br>俺なんか、マジで怖かったんだぜ？"""
un_065060_0050#0,"""正式にアークスになってからも<br>俺の調査に付き合ってもらったり……<br>あ、一緒に戦技大会にも出たよな！"""
un_065060_0060#0,"""その後も、ユク姉を助けてくれたり<br>ダークファルスのやつらを撃退したり<br>【深遠なる闇】と戦ったり……"""
un_065060_0070#0,"""今や、アークスを代表する守護輝士。<br>もう俺の相棒は、卒業だな……へへっ。<br>今まで……ありがとな！"""
un_065060_0080#0,"""いつまでも相棒だよ"""
un_065060_0090#0,"""たしかにね"""
un_065060_0100#0,"""へへっ……<br>そう素直に返されるのも<br>ちょっとむずがゆいな！"""
un_065060_0110#0,"""ちょっ！？<br>じ、冗談きついぜ、相棒……"""
un_065060_0120#0,"""相棒は、真顔で冗談言うからな……<br>わかってても、ドキっとしちまうぜ。<br>まあ、ともかく……"""
un_065060_0130#0,"""今まで、本当にありがとう！<br>そして……これからもよろしくな！<br>相棒！"""
