Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""/mn18 /ci2 5 โอ้! พวกเจ้าเองรึ!<br>ช่วยข้าหน่อยได้รึเปล่า เพราะข้ารู้สึกว่า<br>จำนวนของศัตรูมันจะเยอะเกินไปหน่อยน่ะ"""
Success#2,"""/mn15 /ci2 3 t5 ทำได้ดีมาก ช่วยข้าได้มากจริงๆ !<br>สมกับที่เป็นเหล่า ARKS ชั้นยอด<br>สมัยข้ายังหนุ่มตอนที่พวกพ้องอยู่ในวิกฤตเอง......"""
Failure#2,"""/mn1 อั่ก...... ร่างกายที่แก่ชราของข้า<br>คงจะรับมากกว่านี้ไม่ได้แล้ว......<br>โทษทีนะ แต่ข้าขอถอนตัวไปก่อนล่ะ"""
Dead#2,"""/mn13 ในอดีตข้ารู้สึกว่าข้าเองก็เคย......<br>......ได้รับบาดแผลขนาดนี้จนล้มลงเช่นกัน"""
BuddyDead#2,"""/toge /mn36 /ci3 4 Joseph!<br>ลุกขึ้นมาสิ!<br>ภารกิจมันยังไม่เสร็จสิ้นเลยนะ!"""
Begin#3,"""/mn18 /ci2 5 おお！\u3000君達か！<br>少し手伝ってくれないか。<br>いささか敵の数が多くてな。"""
Success#3,"""/mn15 /ci2 3 t5 よくやってくれた、助かったぞ！<br>さすがは優秀なアークス諸君だ。<br>私も若いころは仲間の危機に……"""
Failure#3,"""/mn1 むぐぅ……<br>これ以上は老体には厳しい……<br>すまんが、私たちは撤退させてもらう。"""
Dead#3,"""/mn13 私もかつてはこの程度の傷で……<br>……倒れていた気もする。"""
BuddyDead#3,"""/toge /mn36 /ci3 4 ジョーゼフ！<br>立ち上がるのだ！<br>まだ任務が完了していないぞ！"""
