name_7211#0,"""香蒂|シャンディー"""
ssn_019010_006_0001#0,"""你有注意到都市的變化嗎？<br>還有敵人也是。"""
ssn_019010_006_0002#0,"""……伽伊拉。<br>我們會這麼稱呼，明亮地閃耀於夜空中的星球。"""
ssn_019010_006_0003#0,"""我們推測，這些變化的原因，<br>很可能與伽伊拉有關。"""
ssn_019010_006_0004#0,"""這個時期的伽伊拉，特別的明亮耀眼，<br>甚至似乎對周圍的草木都造成了影響。"""
ssn_019010_006_0005#0,"""而且，可能也對敵人……<br>特別是夜間的，異變種的行動帶來了變化。"""
ssn_019010_006_0006#0,"""而我想拜託你的，<br>就是對這異變種的調查。"""
ssn_019010_006_0007#0,"""能不能向我們提供一下<br>與帶有季節標誌的異變種，在夜間的戰鬥數據呢？"""
ssn_019010_006_0008#0,"""而對於敵人的詳細情報，我會發送到那邊的終端上，<br>還請確認一下。"""
ssn_019010_006_0009#0,"""我們有給協助者準備特別的報酬。"""
ssn_019010_006_0010#0,"""那就拜託你咯。"""
