ssc_013050_0010#0,"""どうしたんですか？"""
ssc_013050_0020#0,"""立派な毛皮ですね。<br>ありがとうございます！"""
ssc_013050_0030#0,"""トゥーリは、よく食糧や毛皮を<br>とって来てくれるんですよ。"""
ssc_013050_0040#0,"""ちょうど今、タイヴァスの防寒具を<br>作り直してたところでした。"""
ssc_013050_0050#0,"""材料が少し不足してたんですが、<br>これで大丈夫そうです。"""
ssc_013050_0060#0,"""そこで、お願いがありまして……。"""
ssc_013050_0070#0,"""申し訳ないんですが、防寒着が仕上がったら、<br>タイヴァスに届けてもらえないでしょうか？"""
ssc_013050_0080#0,"""ぼくはこの後も色々やることがあって、<br>手が離せなくて……。"""
ssc_013050_0090#0,"""いいんですか？<br>ありがとうございます！"""
ssc_013050_0100#0,"""じゃあ、ちょっと待っててくださいね。"""
ssc_013050_0110#0,"""“ダナン雪原”にいると思います。<br>よろしくお願いしますね。"""
