msc_022030_0010#0,"""……もう。<br>そんなに大したことはしていないのに。"""
msc_022030_0020#0,"""あんなに、大げさに……。"""
msc_022030_0030#0,"""……って、あなた。<br>いつの間に。"""
msc_022030_0040#0,"""どうしたの？"""
msc_022030_0050#0,"""彼女は？"""
msc_022030_0060#0,"""いえ、大したことではないわ。"""
msc_022030_0070#0,"""駆け出しのアークスみたいよ。"""
msc_022030_0080#0,"""ドールズの集団に追われていたところを、<br>助けてあげたの。"""
msc_022030_0090#0,"""そうしたら、<br>すごく感謝されてしまって……。"""
msc_022030_0100#0,"""みんなのために頑張ってる。"""
msc_022030_0110#0,"""みんなマノンのことを必要としてる。"""
msc_022030_0120#0,"""いえ、ぜんぜん。<br>まだまだよ。"""
msc_022030_0130#0,"""私がしてきたことを考えたら……。"""
msc_022030_0140#0,"""……少しでも、<br>そう思ってもらえるように……。"""
msc_022030_0150#0,"""できるかぎりのことをするわ。"""
msc_022030_0160#0,"""さて、そろそろ行くわね。"""
msc_022030_0170#0,"""調査隊のメンバーから、<br>相談を受けているの。"""
msc_022030_0180#0,"""それじゃ、また。"""
