st_056040_0010#0,"""ありがとうございます。<br>……すごく、すっきりしました。"""
st_056040_0020#0,"""それになんだか、楽になりました。<br>ずっと泣くまいと気を張っていたから<br>その反動、なんでしょうね。"""
st_056040_0030#0,"""っ……ぐすっ……<br>すみません、すみませんっ。<br>もう、大丈夫。大丈夫なはずですから。"""
st_056040_0040#0,"""あーっ、女の子を泣かせてるー！"""
st_056040_0045#0,"""いけないんだー、いけないんだー！"""
st_056040_0050#0,"""大丈夫、お姉ちゃん。<br>何かひどいことされたの？"""
st_056040_0060#0,"""泣くのって、悲しいときでしょ？<br>嫌なことがあったから泣くんでしょ？"""
st_056040_0070#0,"""大丈夫、そういうのじゃないの。<br>ありがとう、心配してくれて。"""
st_056040_0080#0,"""ふうん？<br>大人ってフクザツなんだね。"""
st_056040_0090#0,"""君は誰？"""
st_056040_0100#0,"""どこから来たの？"""
st_056040_0110#0,"""ぼく？<br>ぼくはね、フローって言うの。"""
st_056040_0120#0,"""フロー、あなたは<br>どこのご子息です？"""
st_056040_0130#0,"""ふふふ！<br>どこから来たかは……ひみつ！"""
st_056040_0140#0,"""それよりお姉ちゃんたち！<br>一緒に遊ぼう！<br>ここって、遊ぶ場所なんだよね！"""
st_056040_0150#0,"""遊んでれば、涙なんかひっこむよ！<br>ね、ね、いいでしょ！？"""
st_056040_0160#0,"""……そうですね。<br>そのためにここに来たんですからね。"""
st_056040_0170#0,"""……<%me>さん。<br>気付きましたか、あの子。"""
st_056040_0180#0,"""気配は違うけど……"""
st_056040_0190#0,"""……【双子】にそっくりだ"""
st_056040_0200#0,"""……はい。<br>ダークファルス【双子】に似ています。"""
st_056040_0210#0,"""あの子も……ルーサーと同じように<br>【双子】の元、ってことなんでしょうか。<br>……気になりますね。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
