name01#0,"""傑諾"""
name01#1,"""ゼノ"""
11_voice_NPC_5001_100#0,"""<%me><br>謝啦，心情輕鬆多了。"""
text02#0,"""不過，師傅的教誨<br>總是會正好幫上我的忙<br>想想也怪恐怖的。"""
text03#0,"""不過，也有可能只是我的行動太容易預測<br>而已啦。"""
text04#0,"""對了，先別說這個，該給你報酬了。<br>那麼，我在老地方等你<br>你有時間就來吧。"""
text05#0,"""這是我給你的委託嘛。<br>當然也有準備報酬囉。"""
11_voice_NPC_5001_100#1,"""<%me><br>サンキューな、いい気分転換になった。"""
text02#1,"""しっかし、師匠に教わったことが<br>だいたいドンピシャで役に立つってのも<br>なかなか怖い話だよな。"""
text03#1,"""そんだけ俺の動きが読みやすい、って<br>だけなのかもしれないけどよ。"""
text04#1,"""おおっと、そんなことより報酬だな。<br>んじゃ、いつもの場所で待ってるから<br>好きなときに来てくれ。"""
text05#1,"""これは俺からの依頼だからな。<br>きちんと報酬も用意してあるぜ。"""
