Title#0,"""The Beckoning Darkness"""
Explanation#0,"""เรดาห์ตรวจสอบพบสัญญาณจาก D-arker ขนาดใหญ่<br>ปรากฏขึ้นที่ด้านในของ Corrupted Mothership<br>ซึ่งเป็นไปได้ว่าจะเป็น Dark Falz หรือศัตรูที่มีพลังทัดเทียมกัน<br>นอกจากนั้นยังพบว่าค่าพลังงานในแต่ละแอเรีย<br>เพิ่มสูงขึ้นอย่างผิดปกติอีกด้วย ขอจงปฏิบัติภารกิจด้วย<br>ความระมัดระวัง และกำจัดพวกมันให้สิ้นซาก<br>--------------------------------<br>เงื่อนไขที่ทำให้ภารกิจล้มเหลว / <br>ภารกิจไม่สำเร็จ, ใช้เวลาเกินกว่าที่กำหนด"""
Title#1,"""闇へのいざない"""
Explanation#1,"""侵食された旧マザーシップ内に<br>強大なダーカー反応が確認された。<br>反応の強さから、ダークファルスか<br>それに準じるレベルの強大な存在が<br>出現したものと推測される。<br>それ以外にも、各エリアのエネルギー値が<br>異常増大を見せているようだ。<br>細心の注意を払いつつ、殲滅へ向かえ。<br>――――――――――――――――――――<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""ไปให้ถึงชั้นในสุด !"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a2#0,"""เคลียร์ไคลเอนท์ออเดอร์พิเศษ"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
