name_7002#0,"""アイナ"""
name_7001#0,"""マノン"""
name_7004#0,"""クロフォード"""
name_7013#0,"""イルマ"""
msn_041200_0010#0,"""……すまない。奴を取り逃がした。"""
msn_041200_0020#0,"""クロフォードの判断は、間違ってなかったよ。<br>おかげで、誰も傷つかずに済んだんだから。"""
msn_041200_0030#0,"""ええ。ここでの衝突は、最悪の結果を招きかねなかった。<br>私も、あなたの立場だったら同じ選択をしたわ。"""
msn_041200_0040#0,"""みんな、聞こえるかい？<br>あいつが、調査隊を襲ったっていうスターレスか……厄介そうな相手だね。"""
msn_041200_0050#0,"""奴の言葉をヒントに調べたら、クヴァリスのディメンションリッパーから、<br>アブダクションホールと同種のエネルギー反応を検出したよ。"""
msn_041200_0060#0,"""あそこを抜けた先の領域に、奴の言っていた塔があるはずだ。"""
msn_041200_0070#0,"""わかった。ありがとう、イルマ。"""
msn_041200_0080#0,"""……改めて、キミたちに頼みたい。<br>クヴァリスから繋がるオルタレルムへと向かい、塔を探し出してくれ。"""
msn_041200_0090#0,"""アブダクションホールを止める手がかりを掴めるのは、キミたちだけだ。<br>よろしく頼む、ガーディアン。"""
msn_041200_0100#0,"""うん、任せておいて。"""
msn_041200_0110#0,"""それと、アブダクションホールは、エアリオとクヴァリスの境の海域にある。<br>クヴァリスへと向かう途中で、立ち寄ってくれ。"""
msn_041200_0120#0,"""これから僕たちが向き合わなければならないものを、<br>自分たちの目で確認しておくんだ。"""
msn_041200_0130#0,"""ええ……わかったわ。"""
msn_041200_0140#0,"""よろしく頼むよ。<br><%me>。"""
