msn_041370_0010#0,"""本当に、この場にオリジナルがいないことが残念だよ。"""
msn_041370_0020#0,"""守るべきものとやらに縛られて何もできない、逃げ腰の司令官がね！"""
msn_041370_0030#0,"""違う！\u3000力を振るうことだけが、強さじゃない！"""
msn_041370_0040#0,"""クロフォードは、誰よりもたくさんのものを背負ってる。<br>でもだからこそ、あたしたちは、彼を信じて前に進めるの！"""
msn_041370_0050#0,"""誰かの命を預かる覚悟が、クロフォードの強さなのよ。<br>あなたにはわからないの？"""
msn_041370_0060#0,"""私は、出会って間もないけど……これだけはわかる。<br>あの人の中にあるのは、あんたみたいな薄っぺらい強さじゃない。"""
msn_041370_0070#0,"""あんたは、絶対に、本物のクロフォードには勝てやしない！"""
msn_041370_0080#0,"""……くだらない。力も、知性も、全ては僕の中にある。<br>オリジナル以上に、完璧な形でね！"""
msn_041370_0090#0,"""黙って、無様につぶれてろ！\u3000アークスッ!!"""
Npc_7036#0,"""オルタ・クロフォード"""
Npc_7002#0,"""アイナ"""
Npc_7001#0,"""マノン"""
Npc_7034#0,"""ルーシア"""
