un_050100_0001#0,"""A.P.241/12/24/17:30"""
un_050100_0010#0,"""はあっ、はあっ……っうっ！"""
un_050100_0020#0,"""しまっ……！"""
un_050100_0030#0,"""あ……"""
un_050100_0040#0,"""……あの、後ろ姿は。<br>私が追いかけてた、姿……？"""
un_050100_0050#0,"""ありがとうございます！<br>おかげで助かりました！"""
un_050100_0060#0,"""あ、いえ、私はそれほどでも……"""
un_050100_0070#0,"""おねーちゃん、ありがとう！<br>ヒーローさんみたいでかっこよかった！"""
un_050100_0080#0,"""……！"""
un_050100_0090#0,"""そう、お姉ちゃんはヒーローですよ！<br>さあ、早く逃げてください！"""
un_050100_0100#0,"""皆が来るまであとひと踏ん張り！<br>私、頑張りますよーっ！"""
name01#0,"""一般市民（母親）"""
name02#0,"""一般市民（子供）"""
