Title#0,"""T:星芒喰らう闇の狂宴"""
Explanation#0,"""オラクル宙域における複数の惑星<br>およびアークスシップ市街地において<br>異世界オメガのダークファルスと類似した<br>敵性反応が確認された。各員は直ちに出撃し<br>事態の鎮圧をはかれ。極めて危険なことから<br>本作戦は、制限時間内での任務となる。<br>――――――――――――――――――――<br>制限時間20分<br>最大与ダメージ制限/999999<br>最深部に出現するエネミーの撃破でクリア"""
SimpleExplanation#0,"""敵性反応を殲滅せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""【仮面】反応座標付近"""
Area0L#0,"""オラクル宙域\u3000【仮面】反応座標付近"""
Area1S#0,"""惑星ナベリウス 遺跡"""
Area1L#0,"""惑星ナベリウス 遺跡"""
Area2S#0,"""惑星ウォパル\u3000浮上施設"""
Area2L#0,"""惑星ウォパル\u3000浮上施設"""
Area3S#0,"""惑星リリーパ\u3000採掘基地"""
Area3L#0,"""惑星リリーパ\u3000採掘基地"""
Area4S#0,"""惑星ハルコタン\u3000黒ノ領域"""
Area4L#0,"""惑星ハルコタン\u3000黒ノ領域"""
Area5S#0,"""アークスシップ\u3000市街地"""
Area5L#0,"""アークスシップ\u3000市街地"""
Area6S#0,"""【仮面】反応座標付近"""
Area6L#0,"""オラクル宙域\u3000【仮面】反応座標付近"""
Area11S#0,"""惑星ナベリウス 遺跡"""
Area11L#0,"""惑星ナベリウス 遺跡"""
Area12S#0,"""惑星ウォパル\u3000浮上施設"""
Area12L#0,"""惑星ウォパル\u3000浮上施設"""
Area13S#0,"""惑星リリーパ\u3000採掘基地"""
Area13L#0,"""惑星リリーパ\u3000採掘基地"""
Area14S#0,"""惑星ハルコタン\u3000黒ノ領域"""
Area14L#0,"""惑星ハルコタン\u3000黒ノ領域"""
Area15S#0,"""アークスシップ\u3000市街地"""
Area15L#0,"""アークスシップ\u3000市街地"""
NpcComMsg1#0,"""これより、オラクルに出現した<br>オメガのダークファルス勢力の<br>掃討作戦を開始します。"""
NpcComMsg2#0,"""現在、各ダークファルスは<br>オラクルの各惑星に対し総力を持って<br>攻撃を仕掛けています。"""
NpcComMsg3#0,"""みなさんは、遊撃隊として各惑星を<br>転戦しこれの撃退をお願いします。<br>厳しい作戦になると思います。ご武運を！"""
