text00#0,"""何が知りたいのかな？"""
text01#0,"""「スキルリング」とは"""
text02#0,"""「スキルリングの強化」とは"""
text03#0,"""この場を離れる"""
Title#0,"""『スキルリング』について"""
text01#1,"""スキルリングとは？<br>左手に装備するＬリングと<br>右手に装備するＲリングの２種類があります。<br>装備する事でリングスキルを習得します。<br><br>効果例<br><c 00ffff>Ｌリングスキル<c>：カタナギアガードリリース<br>\u3000カタナでガード状態を維持すると、<br>\u3000強制的にギアを解放。<br>\u3000解放中、ギア増加量が大幅に減少する。<br><br><c 00ffff>Ｒリングスキル<c>：ＰＰコンバート／リング<br>\u3000一定時間、ＰＰ自動回復量が上昇し<br>\u3000ＨＰ最大値が減少する。"""
text02#1,"""スキルリングは「フランカ’s カフェ」内の<br>「スキルリングショップ店員アールチェ」で<br>メセタとギャザリングの素材などを<br>使うと入手する事が出来ます。"""
Title#1,"""『スキルリングの強化』について"""
text01#2,"""スキルリングには強化の最大値があり<br>その値まで強化する事が出来ます。<br><br>スキルリングを装備した状態で<br>経験値を得るとスキルリングの<br>リングＥＸＰが溜まります。"""
text02#2,"""リングＥＸＰを一杯まで溜めると<br>強化の最大値が上昇します。<br><br>スキルリングの強化は<br>ショップエリアのアイテムラボにて<br>メセタとギャザリングの素材などを使って<br>行うことが出来ます。<br><br><yellow>※スキルリングは強化しなくても<br>リングＥＸＰは蓄積されていきます。<c>"""
text03#1,"""Ｌリングの場合<br>強化すると、リングの上昇パラメータを<br>選択できます。<br><br>選択できる上昇パラメータは<br>リングの種類毎に異なります。"""
