text01#0,"""***"""
text01#1,"""アッシュ君がラグオルで見た<br>メッセージカプセルって、凄くいい<br>アイディア。考えた人、天才ね！"""
text02#0,"""カプセルのメッセージを読んだら<br>たとえ孤独な時でも、人との繋がりを<br>感じることが出来ると思うんだ。"""
text03#0,"""あたしもラグオルに戻ったら<br>カプセルを置いていくことにする。<br>あたしに続いて来る者のために。"""
text01#2,"""アッシュ君たちの会話に出てきた<br>「ブルーバースト」っていう言葉……<br>気になるわ。"""
text02#1,"""あたしが知らない未来に起きた<br>未知の現象……いや、事件？<br>未来にいったい、何が起きたの？"""
text03#1,"""でも、これ以上知るのは危険ね。<br>その時その時で、最善を尽くせばいい。<br>それが、ハンターズなんだから！"""
text01#3,"""あたしが行方不明ってことになったら<br>父さん、心配してくれるかな……"""
text02#2,"""セントラルドームが無事に完成したら<br>移民船、パイオニア２を招聘予定なの。<br>その船には、あたしの父さん……"""
text03#2,"""コリン・タイレルが<br>パイオニア２の総督として乗船する。<br>やっと……数年ぶりに会えるの。"""
text04#0,"""堅物だし、うるさいから<br>ケンカも絶えなかったけど……<br>はやく会いたいな。"""
text01#4,"""色々と世話になったわね。<br>ここに後ろ髪を引かれないうちに<br>居なくなるつもりだから、安心して。"""
text02#3,"""え？\u3000いつまでも居て構わない？<br>うーん……そう言われると、残って<br>この世界を研究したくなっちゃうな……"""
text03#3,"""……なーんてね！\u3000向こうの世界には<br>やり残したことがある。未来は自分の<br>手で開拓するよ、ハンターとしてね！"""
