name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""用這兵器<br>大開殺戒麼。<br>交給你了。"""
skit02#0,"""......用這兵器，<br>好像是這樣。<br>交給你了。"""
skit03#0,"""槍座什麼的，沒什麼變化呢。<br>莉莎想用自己的手出擊，<br>這交給了你。"""
skit04#0,"""是要我用這槍座<br>掃射麼？<br>......伙伴，交給你了！"""
skit05#0,"""喔，機槍座準備好了！<br>這用個來掃射<br>是神的旨意啊！？"""
skit06#0,"""為什麼像是真的......？<br>喔呵！不是神，而是ARKS的<br>旨意。"""
skit07#0,"""那機槍座是可以用的呢。<br>因為我不太會，所以交給你。"""
skit01#1,"""/ci2 2 用這兵器掃蕩吧<br>大開殺戒麼。<br>交給你了。"""
skit02#1,"""/ci2 2 ......用這兵器<br>好像是這樣。<br>交給你了。"""
skit03#1,"""/ci2 2 機槍座什麼的，沒什麼變化呢。<br>莉莎想用自己的手出擊，<br>這交給了你。"""
skit04#1,"""/ci2 2 用這機槍座掃蕩<br>掃射麼？<br>......伙伴，交給你了！"""
skit05#1,"""/ci2 2 喔，唉！機槍座已經準備好了！<br>這用個來掃射<br>是神的旨意啊！？"""
skit06#1,"""/ci2 2 為什麼像是真的......？<br>喔呵！不是神，而是ARKS的<br>旨意。"""
skit07#1,"""/ci2 2 那機槍座是可以使用的。<br>因為我不太會，所以交給你。"""
