name01#0,"""Risa"""
name01#1,"""リサ"""
11_voice_NPC_5026_101#0,"""เจ้าเยี่ยมยอดจริงๆ เจ้ากับข้าเข้ากันได้ดี <br>เจ้าสามารถสาดกระสุนใส่ข้าได้ด้วยซ้ำ <br>ข้าไม่ว่าอะไร"""
text02#0,"""เอ่อ จริงๆ ข้าไม่ได้หมายความแบบนั้น <br>อย่าคิดอะไรแผลงๆ ข้าชอบยิงก็จริง <br>แต่โดนยิงน่ะไม่ใช่เลย"""
text03#0,"""การร่วมต่อสู้กับเจ้าก็ทำให้สนุกมากที่สุด<br>ข้าคงเศร้ามากถ้าต้องฆ่าเจ้า"""
text04#0,"""ดังนั้นมาอยู่ฝ่ายเดียวกัน โอเคมั้ย?<br>วิธีการยิง การทรมาณและการฆ่าศัตรูนั้น<br>เหมือนกันเลย"""
text05#0,"""ถ้าเราทำแบบนี้ไปเรื่อยๆ เราคงจะมีความสงบสุขแน่อน <br>แต่ให้พูดตามตรง นั่นคงไม่ใช่เหตุผลของข้าหรอก"""
11_voice_NPC_5026_101#1,"""いいですねえ、思わずうっとりです。<br>あなたになら撃たれてもいいって<br>ちょっと思っちゃいましたねえ。"""
text02#1,"""もちろん本気でされても困りますよお？<br>リサは撃つのは好きでも、撃たれるのは<br>あまり好きではありませんからねえ。"""
text03#1,"""それに、あなたのようなひとと戦うのは<br>楽しいでしょうけど、もったいない。<br>もったいないからやりませんよお。"""
text04#1,"""だから、ずうっと仲良くしましょうね。<br>一緒に敵さんを撃って撃って撃って<br>殺して殺して殺すんですよお。"""
text05#1,"""それをずっと続けていけば<br>いずれ平和というのにもなるんじゃない<br>ですかあ？\u3000ま、関係ないですけどお。"""
