Title#0,"""T:惨劇を招く破滅の虚影"""
Explanation#0,"""怨嗟の残滓からなる【仮面】の反応が<br>再び宇宙の変質空間において確認された。<br>全宇宙破滅を望む執念は、凄まじく<br>熾烈を極める戦いになると予想される。<br>本任務は、危険なことから相応の実績と<br>強い覚悟を持つアークスに限定される。<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""ダークファルス・ペルソナを撃破せよ！"""
NpcComMsg1#0,"""これより、再び変質空間とともに<br>出現したダークファルス・ペルソナの<br>撃破作戦を開始します。"""
NpcComMsg2#0,"""対象の狙いは、全宇宙の破滅。<br>おそらくは、なりふり構わない<br>危険な攻撃が予想されます。"""
NpcComMsg3#0,"""こちらも、遠慮は無用です！<br>みなさんなら、かならず勝てます……<br>生きて、帰ってきてください！"""
Area0S#0,"""【仮面】反応座標付近"""
Area0L#0,"""オラクル宙域\u3000【仮面】反応座標付近"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
