IncidentName#0,"""制限時間内に$(0)を拘束せよ！"""
TrialBeginMsg#0,"""制限時間内に$(0)を拘束せよ！"""
TrialAbstract#0,"""制限時間内に$(0)を拘束せよ！"""
NpcComOnBegin#0,"""禍縛ノ矢の設置を確認。<br>設置箇所をマーカーで表示しました。"""
NpcComOnBegin2#0,"""着弾推奨部位を表示しました。<br>各員は協力し、『禍津』の拘束を。<br>"""
NpcComOnSuccess#0,"""『禍津』の防御力低下を確認。<br>各員、急ぎ『禍津』へ向け攻撃を。"""
NpcComOnFailure#0,"""禍縛ノ矢の使用限界を確認。<br>拘束は失敗です。<br>『禍津』との戦闘へ戻ってください。"""
NpcComOnRemainTime#0,"""/face4 禍縛ノ矢使用限界まで<br>残り $(0) 秒です。"""
NpcComOnBegin#1,"""禍縛ノ矢の設置を確認。<br>設置箇所をマーカーで表示しました。"""
NpcComOnBegin2#1,"""着弾推奨部位を表示しました。<br>各員は協力し、『禍津』の拘束を。<br>"""
NpcComOnSuccess#1,"""『禍津』の防御力低下を確認。<br>各員、急ぎ『禍津』へ向け攻撃を。"""
NpcComOnFailure#1,"""禍縛ノ矢の使用限界を確認。<br>拘束は失敗です。<br>『禍津』との戦闘へ戻ってください。"""
NpcComOnRemainTime#1,"""/face4 禍縛ノ矢使用限界まで<br>残り $(0) 秒です。"""
NpcComOnBegin#2,"""禍縛ノ矢の設置を確認。<br>設置箇所をマーカーで表示しました。"""
NpcComOnBegin2#2,"""着弾推奨部位を表示しました。<br>各員は協力し、『禍津』の拘束を。<br>"""
NpcComOnSuccess#2,"""『禍津』の防御力低下を確認。<br>各員、急ぎ『禍津』へ向け攻撃を。"""
NpcComOnFailure#2,"""禍縛ノ矢の使用限界を確認。<br>拘束は失敗です。<br>『禍津』との戦闘へ戻ってください。"""
NpcComOnRemainTime#2,"""/face4 禍縛ノ矢使用限界まで<br>残り $(0) 秒です。"""
NpcComOnBegin#3,"""禍縛ノ矢の設置を確認。<br><red>設置箇所をマーカーで表示<black>しました。"""
NpcComOnBegin2#3,"""着弾推奨部位を表示しました。<br>各員は協力し、『禍津』の拘束を。"""
NpcComOnSuccess#3,"""『禍津』の拘束を確認。<br>各員、急ぎ『禍津』へ向け攻撃を。"""
NpcComOnFailure#3,"""/face4 禍縛ノ矢の使用限界を確認。<br>拘束は失敗です。<br>『禍津』との戦闘へ戻ってください。"""
NpcComOnRemainTime#3,"""禍縛ノ矢使用限界まで<br>残り $(0) 秒です。"""
