MySpaceCommonLabel_EditMode#0,"""編集モード"""
MySpaceMenuText_OverPeople#0,"""同時に編集できる人数を超えたため、編集モードに移行できません。"""
MySpaceMenuText_NoEditAuth2#0,"""編集権限がないため、編集モードに移行できません。"""
MySpace_Notice_Editing#0,"""他のプレイヤーが操作中のため、編集できません。"""
MySpace_EditPublicBlueprintMachine#0,"""この設計図端末は、設計図が公開されているため移動や削除などができません。"""
MySpaceMenuText_RunOwner#0,"""この項目は、スペースオーナーのみ利用できます。"""
UnusablePaletteText_BuildParts#0,"""このビルドパーツは、現在のクリエイティブスペースでは使用できません。"""
UnusablePaletteText_BuildParts_Blueprint#0,"""このビルドパーツは、スペースオーナーのみ使用可能です。"""
UnusablePaletteText_BuildParts_CSpaceOnly#0,"""このビルドパーツは、チームスペースでは使用できません。"""
UnusablePaletteText_BuildParts_TeamSpaceOnly#0,"""このビルドパーツは、チームスペースでのみ使用できます。"""
UnusablePaletteText_Blueprint#0,"""この設計図は、現在のクリエイティブスペースでは利用できません。"""
MyspaceInfoText_CrowdedPlaces#0,"""一定範囲内に特定のビルドパーツが密集しすぎています。距離を離して設置してください。"""
MyspaceInfoText_BlueprintNonEditable#0,"""設計図で設置されたビルドパーツに、この操作は行えません。"""
MyspaceInfoText_Outside_Player#0,"""クリエイティブスペースの範囲外に移動したため、自動強制転送されました。"""
MyspaceInfoText_Outside_BuildParts#0,"""この場所には、ビルドパーツを設置できません。"""
MySpaceMenuText_SearchTag#0,"""検索用タグ"""
MySpaceMenuText_Tag1#0,"""タグ1"""
MySpaceMenuText_Tag2#0,"""タグ2"""
MySpaceMenuText_Tag3#0,"""タグ3"""
MySpaceFloating_up1#0,"""上昇："""
MySpaceFloating_up2#0,"""<%Jump>を押しながら前進"""
MySpaceFloating_down1#0,"""下降："""
MySpaceFloating_down2#0,"""<%Jump>を押しながら後退"""
MySpaceFloating_speed_up1#0,"""加速："""
MySpaceFloating_speed_up2#0,"""<%Avoid>長押し"""
BuildMenu_DisallowBlueprintName#0,"""利用不可の設計図"""
BuildMenu_DisallowBlueprintText#0,"""クロスプレイ無効のクリエイティブスペースのため、<br>この設計図は利用できません"""
BuildMenu_NoPartsBlueprintText#0,"""設計図に含まれるビルドパーツが、なにも登録されていないため設置できません。"""
MySpaceDirectPurchase_CantBuyTitle#0,"""購入できないビルドパーツ"""
MySpaceDirectPurchase_CantBuyText1#0,"""この設計図には、<br>ジェネシスポイントもしくはスタージェムで購入できない、<br>未所持のビルドパーツが含まれています。"""
MySpaceDirectPurchase_CantBuyText2#0,"""この設計図には、<br>ジェネシスポイントもしくはスタージェムで購入できない、<br>未登録のビルドパーツが含まれています。"""
