MesetaDenomination#0,"""<pict reb_meseta>メセタ"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""スター"""
CcDenomination#0,"""CC"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
BcDenomination#0,"""BC"""
SpDenomination#0,"""SP"""
Cash#0,"""所持金"""
CashMeseta#0,"""所持メセタ"""
CashAc#0,"""所持AC"""
CashCp#0,"""所持CP"""
CashFun#0,"""所持FUN"""
CashStar#0,"""所持スター"""
CashCc#0,"""所持CC"""
CashCm#0,"""所持CM"""
CashSg#0,"""所持SG"""
CashBc#0,"""所持BC"""
CashSp#0,"""所持SP"""
CashDenomi#0,"""所持$(0)"""
TotalAmount#0,"""合計金額"""
TotalMeseta#0,"""合計メセタ"""
TotalAc#0,"""合計AC"""
TotalCp#0,"""合計CP"""
TotalFun#0,"""合計FUN"""
TotalStar#0,"""合計スター"""
TotalCc#0,"""合計CC"""
TotalCm#0,"""合計CM"""
TotalSg#0,"""合計SG"""
TotalBc#0,"""合計BC"""
TotalSp#0,"""合計SP"""
TotalDenomi#0,"""合計$(0)"""
InputBuyNumberTitle_Vita#0,"""購入個数選択"""
InputSellNumberTitle_Vita#0,"""売却個数選択"""
StockNumber_Vita#0,"""購入(交換)可能数/あと\u3000$(0)個"""
InsufficientCash#0,"""$(0)が不足しています"""
BuyDayLimitOver#0,"""購入可能期間外です。"""
ExchangeDayLimitOver#0,"""交換可能期間外です。"""
BuyNumLimitOver#0,"""購入上限以上に購入しようとしています。"""
ExchangeNumLimitOver#0,"""交換上限以上に交換しようとしています。"""
ItemBuyDBAccessError#0,"""サーバーが混雑しているため、<br>アイテムの購入ができませんでした。"""
ItemChangeDBAccessError#0,"""サーバーが混雑しているため、<br>アイテムの交換ができませんでした。"""
ShopTitle#0,"""トレジャーショップ"""
ShopTitle_N_SG#0,"""トレジャーショップ<pict 4space><pict StarGem>"""
ShopTitle_N_Meseta#0,"""トレジャーショップ<pict 4space><pict reb_meseta>"""
MenuGuide#0,"""<c f0df60>利用するショップを選択してください。<c>"""
MenuGuide_N_SG#0,"""日替わりで商品が変わる、SGで購入できるアイテムのショップです。“商品の更新”で、すぐに商品リストを更新できます。（毎日1回無料）"""
MenuGuide_N_Meseta#0,"""日替わりで商品が変わる、N-メセタで購入できるアイテムのショップです。“商品の更新”で、すぐに商品リストを更新できます。（毎日1回無料）"""
MenuTitle#0,"""ショップメニュー"""
MenuSG#0,"""スタージェムで買う"""
MenuMeseta#0,"""メセタで買う"""
