11_voice_NPC_5021_102#0,"""ARKS หลายคนในสมัยนี้ <br>ลืมอัพเกรดอาวุธและเกราะป้องกันตัวเอง!<br>เราไม่ควรปล่อยให้เป็นแบบนั้น"""
text02#0,"""การไปต่อสู้โดย<br>ไม่อัพเกรดอาวุธตัวเองเป็นอันตรายต่อชีวิต <br>นั่นเป็นการกระทำที่ไม่ฉลาดเลย"""
text03#0,"""แล้วท่านล่ะ? ท่านน่าจะอัพเกรดบ้างนะ"""
text04#0,"""อัพเกรดอะไร? อาวุธและเกราะไง <br>ไม่ได้ฟังที่พูดเลยเหรอ? ท่านควรตั้งใจฟัง<br>ให้มากกว่านี้ จงไปใช้ Grinder ที่ Item Lab"""
text05#0,"""เอ้า ยังมัวรออะไรอยู่อีก? <br>ตั้งใจฟังหน่อย แล้วไปอัพเกรดได้แล้ว<br>เข้าใจมั้ย?"""
text100#0,"""อัพเกรดอาวุธ"""
text101#0,"""ท่านสามารถอัพเกรดอาวุธได้ที่ Item Lab โดยการอัพเกรดจะเป็นการปรับแต่งอาวุธและเกราะของท่าน"""
text102#0,"""ท่านต้องการสิ่งเหล่านี้ในการอัพเกรด<br>- A grinder<br>- Meseta<br><br>สิ่งของเหล่านี้จะใช้ในกระบวนการอัพเกรดอาวุธและเกราะ"""
text103#0,"""การอัพเกรดอาจจะสำเร็จหรือล้มเหลวก็ได้ <br>ถ้าสำเร็จคุณสมบัติของไอเทมจะดีขึ้น <br>ถ้าล้มเหลวคุณสมบัติไอเทมจะลดลง"""
text104#0,"""การอัพเกรดไอเทมจะมีค่าแสดงตั้งแต่ +1 ถึง +10<br>ด้านหลังชื่อในข้อมูลไอเทม"""
linewindow#0,"""ท่านได้รับ Grinder"""
11_voice_NPC_5021_102#1,"""昨今のアークスは、愛用品の強化を<br>行おうとしない者が多すぎる！<br>たるんでいると言わざるを得ん！"""
text02#1,"""自らの命を預ける武器の強化……<br>それをないがしろにして戦えるか<br>否、断じて否！\u3000愚かしい！"""
text03#1,"""ええい、話している内にも<br>不安が鎌首をもたげてきた！<br>君、今すぐ強化してくるといい！"""
text04#1,"""何を、って、決まっているだろう。<br>ラボで愛用品の強化だ！<br>グラインダーを用いての強化だ！"""
text05#1,"""さあ、さあ、やってきてくれ！<br>そう難しいことではないはずだ！<br>私の不安を払拭してくれ！"""
text100#1,"""『武器強化』について"""
text101#1,"""『武器の強化』について、説明します。<br><br>アイテムラボの施設で、武器を強化することが可能です。<br>アイテムラボとは、武器やユニットをカスタマイズする施設です。"""
text102#1,"""アイテム強化に必要なのは以下の２種類です。<br>\u3000・グラインダー<br>\u3000・メセタ<br><br>これらのアイテムを消費して、武器や防具を強化していきます。"""
text103#1,"""強化を実行すると、成功または失敗が発生します。<br>強化に成功すると性能がアップします。<br>強化に失敗すると、性能がダウンすることがあります。"""
text104#1,"""強化後のアイテムデータには、名称の語尾に<br>＋１～１０の表記が追加されます。"""
linewindow#1,"""『グラインダー』を入手しました。"""
