un_020660_0010#0,"""ฟู่ว หวัดดีจ้าจ้าจ้าจ้า<br>สาวน้อยเหม็นเหงื่อ Pati จังเองจ้า<br>ยังร้อนไม่เปลี่ยนเลยนะ ดาวดวงเนี๊ยะ!"""
un_020660_0020#0,"""......บางทีชั้นก็เคยคิดนะว่า<br>คนที่ทักทายผิดรูปแบบน่ะ<br>มันคือชั้นเองหรือเปล่า"""
un_020660_0030#0,"""อ๊ะ Tia ค่ะ ชั้นต้องขออภัย<br>แทนยัยพี่งี่เง่าไร้มารยาทคนนี้ด้วยนะคะ"""
un_020660_0040#0,"""ทั้งงี่เง่าทั้งไร้มารยาท......<br>ลบกับลบมาเจอกันแบบนี้<br>ก็เป็นบวกสินะ!"""
un_020660_0050#0,"""ไม่บวกหรอกย่ะ ยัยพี่งี่เง่า"""
un_020660_0060#0,"""นี่ Pati จัง<br>ที่เรายืนอยู่นี่ก็เป็นเขตอันตรายนะ<br>ช่วยตึงเครียดกว่านี้หน่อยได้รึเปล่า"""
un_020660_0070#0,"""อ๊ะ ใช่ใช่ ตอนนี้บริเวณนี้ถูกกำหนด<br>ให้เป็นพื้นที่อันตรายแล้วนี่น้า<br>มีแจ้งให้ทุกคนรู้แล้วด้วย"""
un_020660_0080#0,"""เอ๊ะ? ไม่มีใครติดต่อแจ้งเธอเลยเหรอ?<br>ล้อเล่นอ๊ะป่าวจะเป็นไปได้ไงล่า<br>......ไม่มีจริงๆ อ่ะ?"""
un_020660_0090#0,"""แปลกจังเลย...... ประกาศนี้มันควร<br>จะติดต่อไปถึง ARKS ทุกคนนี่นา<br>......หรือว่าจะมีการตกหล่นหรือเปล่าน้า"""
un_020660_0100#0,"""หรือไม่ก็จงใจแกล้งก็ไม่รู้เนอะ!"""
un_020660_0110#0,"""กะแกล้งให้ตายทั้งเป็นเลยไม่ใช่เหรอน่ะ!<br>อืมม เป็นความผิดพลาดที่ไม่สมกับ ARKS เลย<br>......ความผิดพลาดเหรอ"""
un_020660_0120#0,"""แต่ว่าแต่ว่า ก็นับว่าดีแล้วล่ะนะ<br>ที่มาเจอพวกเราเข้าก่อนเนี่ย<br>เอ้าไปลาดตระเวนดีกว่า! ระวังตัวด้วยนะ!"""
un_020660_0010#1,"""ふー、こんちわちわちわー。<br>汗だくパティちゃんですー。<br>相変わらずあっついね、この惑星！"""
un_020660_0020#1,"""……ときどきね、私のしている<br>挨拶が間違ってるのかな、って<br>思うことがあるんだ。"""
un_020660_0030#1,"""あ、ティアです。<br>重ね重ね、バカ姉が不躾ですみません。"""
un_020660_0040#1,"""バカに不躾重ねてきたねー……<br>マイナスの意味が二つ重なって<br>プラスになるね！"""
un_020660_0050#1,"""ならないよバカ姉。"""
un_020660_0060#1,"""あのさパティちゃん。<br>一応ここ警戒区域なんだし<br>もっと緊張感持っていこうよ。"""
un_020660_0070#1,"""あ、そうそう、今このあたりって<br>警戒区域に指定されてるんだよね。<br>みんなに告知きたもんねー。"""
un_020660_0080#1,"""え？\u3000アナタ連絡来てないの？<br>いやいやまさかそんなそんな。<br>……本当に来てないの？"""
un_020660_0090#1,"""おかしいな……あの連絡は<br>アークス全員に回ってるはずなのに。<br>……連絡漏れ、とかなのかな。"""
un_020660_0100#1,"""あるいはハブられた、とか！"""
un_020660_0110#1,"""生死に関わるいじめじゃない！<br>うーん、アークスらしからぬミスだね。<br>……ミス、なんだよね。"""
un_020660_0120#1,"""でもでも、そう考えるとここで<br>あたしたちに会えて良かったよね。<br>警戒、警戒だよー！\u3000気をつけてね！"""
