NAME#0,"""Risa"""
NICKNAME#0,"""Item Shop Staff"""
NAME#1,"""リサ"""
NICKNAME#1,"""アイテムショップ店員"""
HELLO#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
HELLO_FAV4#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
HELLO_FAV3#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
HELLO_FAV2#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
HELLO_FAV1#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
HELLO_FAV0#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
Q0#0,"""ยินดีต้อนรับ<br>ท่านกำลังหาไอเทมอยู่หรือเปล่า? ข้าช่วยท่านได้นะ"""
GOODBYE#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV4#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV3#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV2#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV1#0,"""ระวังตัวด้วยนะ"""
GOODBYE_FAV0#0,"""ระวังตัวด้วยนะ"""
HELLO#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV4#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV3#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV2#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV1#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV0#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
Q0#1,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
GOODBYE#1,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV4#1,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV3#1,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV2#1,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV1#1,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV0#1,"""気をつけていってらっしゃいませ"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""คุย"""
C_ORDER_ST#0,"""ฟัง"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
