Title#0,"""冰上的聖誕節2"""
Explanation#0,"""來了來～了。這個委託也不是由ARKS<br>而是由我希伊來傳達！<br>聽說娜烏拉的蛋糕店今年也在<br>雪原開了期間限定的店面喔！<br>因為這次也要舉辦聖誕節派對<br>你能幫我買來蛋糕嗎？<br>現在的話也可以看見亮晶晶的雪花飛舞<br>非～常推薦喔！<br>――――――――――――――――――――<br>失敗條件/防衛失敗、超過限制時間"""
Title#1,"""氷上のメリークリスマス２"""
Explanation#1,"""はいはーい。この依頼もアークスではなく<br>わたしことシーからお伝えしまっす！<br>今年もナウラのケーキ屋が期間限定で<br>凍土にお店を開いているんだって！<br>クリスマスパーティーを今回も開くから<br>ケーキを買ってきてくれないかな？<br>今ならキラキラとした雪が舞い散ってるのも<br>見られるし、とーってもおすすめだよ！<br>――――――――――――――――――――<br>失敗条件/防衛の失敗、制限時間の経過"""
SimpleExplanation#0,"""找出娜烏拉的蛋糕店！"""
SimpleExplanation#1,"""ナウラのケーキ屋を探し出せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
