un_012620_0005#0,"""[From Now On]<br>ข้อความชั่วคราว"""
un_012620_0010#0,"""อืม...... สวัสดี<br>นึกแล้วว่าพลังของพวก D-arkers<br>นี่รู้สึกจะเพิ่มขึ้นจริงๆ ด้วยนะ"""
un_012620_0020#0,"""......Dark Falz เองก็ฟื้นคืนชีพขึ้นมาแล้ว<br>ถ้าไม่คิดหาวิธีการต่อสู้เอาไว้<br>อาจจะอันตรายก็ได้นะ"""
un_012620_0030#0,"""......จุดอ่อนของ Wizard คือมีพลังชีวิตน้อย<br>ก็เลยจำเป็นต้องหาตัวตนที่สามารถทดแทน<br>ส่วนนั้นได้มาร่วมมือ"""
un_012620_0040#0,"""......ชะ ชั้นน่ะเกลียด Hunter นะ<br>แต่ว่าถ้าไม่ยอมรับความสามารถอันนั้น<br>ชั้นก็จะกลายเป็นคนใจแคบไป"""
un_012620_0050#0,""".....เหนือสิ่งอื่นใดเลย ก็คือชั้นอยากจะ<br>ปกป้องทุกคน ไม่ใช่เวลาที่จะมัวมา<br>บ่นนู่นนี่ ต้องลองทำหลายๆ อย่างดู"""
un_012620_0060#0,"""......ขอบคุณนะที่ยอมเป็นคู่คุยกับชั้น<br>ชั้นรู้สึกจิตใจสงบขึ้นบ้างแล้วล่ะ"""
un_012620_0070#0,""".....งั้นก็ไว้เจอกันใหม่นะ"""
un_012620_0005#1,"""【これからの戦い方】<br>仮テキスト"""
un_012620_0010#1,"""ん……こんにちは。<br>やっぱり、ダーカーの勢いが<br>増している感じがあるわね。"""
un_012620_0020#1,"""……ダークファルスが復活したんだし<br>戦い方も、しっかり考えていかないと<br>危険かもしれないわ。"""
un_012620_0030#1,"""……フォースの弱点は体力の低さ。<br>それを補えるような存在と連携して<br>立ち回ることが必要、ってこと。"""
un_012620_0040#1,"""……わ、私はハンターが嫌い。<br>だけど、その能力は認めなきゃ<br>ただの狭量な人になっちゃうから。"""
un_012620_0050#1,"""……なにより、皆を守りたいし。<br>文句なんて言ってる場合じゃない。<br>いろいろ、やってみないと。"""
un_012620_0060#1,"""……話に付き合ってくれて<br>ありがとう。まとまった気がする。"""
un_012620_0070#1,"""……それじゃ、またね。"""
