Title#0,"""討伐紅猿猴"""
Explanation#0,"""有報告說行星納貝流士上居住的原生種<br>的凶暴性增加了。尤其是常被看見的<br>原生種猿猴，他的稀有種紅猿猴的<br>凶暴化相當顯著。<br>為了維持生態系，想委託你擊退<br>凶暴化的紅猿猴。"""
Title#1,"""ザウーダン討伐"""
Explanation#1,"""惑星ナベリウスに居住する原生種の<br>凶暴性が増しているとの報告があった。<br>原生種として多く見かけるウーダン<br>特に、その亜種であるザウーダンの<br>凶暴化が顕著である。<br>生態系を維持するため、凶暴化した<br>ザウーダンの撃退を依頼する。"""
SimpleExplanation#0,"""討伐紅猿猴!"""
SimpleExplanation#1,"""ザウーダンを討伐せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
