IncidentName#0,"""จับกุม $(0)!"""
TrialBeginMsg#0,"""จับกุม $(0) ที่ท่านพบด้วยกับดัก!"""
TrialAbstract#0,"""จับกุม $(0)!"""
ToastOnRestTryCaptureNum#0,"""กับดักที่ทำงานอยู่: $(0)"""
ToastOnUselessAccess#0,"""ท่านไม่สามารถใช้งานกับดักได้ตอนนี้"""
IncidentName#1,"""$(0)を捕獲せよ！"""
TrialBeginMsg#1,"""$(0)を捕獲装置で捕獲せよ！"""
TrialAbstract#1,"""$(0)を捕獲装置で捕獲せよ！"""
ToastOnRestTryCaptureNum#1,"""捕獲装置起動可能回数\u3000残り$(0)回。"""
ToastOnUselessAccess#1,"""現在捕獲装置は起動できない。"""
NpcComOnBegin#0,"""$(0) นี่นา!<br>ใช้อุปกรณ์พิเศษเพื่อจับมันให้ได้!"""
NpcComOnAfterBegin#0,"""ใช้งานกับดักที่ $(0)!<br>จงพาเป้าหมายมายังกับดักแล้วจับกุมมันให้ได้!"""
NpcComOnSuccess#0,"""/face2 จับกุมเป้าหมายแล้ว!<br>เยี่ยมมาก!"""
NpcComOnFailure#0,"""/face6 ถึงตอนนี้จะพยายามต่อไปก็คงไม่มีผลอะไรแล้ว...<br>โปรดกลับไปทำหน้าที่ของท่านตามเดิมเถอะ"""
NpcComOnEnableCapture#0,"""เป้าหมายอยู่ในระยะกับดักแล้ว!<br>ตอนนี้ล่ะ! ใช้งานกับดักเลย!"""
NpcComOnCaptureSwitch#0,"""กะเวลาได้ดีมาก<br>ตอนนี้ท่านเพียงพาเป้าหมายเข้ามาในระยะกับดักให้ได้!"""
NpcComOnDisableCapture#0,"""/face4 ยังใช้กับดักตอนนี้ไม่ได้!<br>ท่านต้องพาเป้าหมายเข้ามาในระยะก่อน!"""
NpcComOnSuccessCapture#0,"""/face2 จับกุมเป้าหมาย!<br>กำลังดำเนินการเทเลพอต!"""
NpcComOnFailedCapture#0,"""/face4 โธ่ การจับเป้าหมายล้มเหลว<br>โปรดจำไว้ว่ากับดักมีระยะจำกัดนะ"""
NpcComOnAttackTarget#0,"""/face4 เอ๊! เดี๋ยว! เดี๋ยวก่อน!<br>ภารกิจของเราคือจับกุมเป้าหมาย โปรดอย่าโจมตีมันเด็ดขาด!"""
NpcComOnDeadTarget#0,"""/face6 สัญญาณชีพของสิ่งมีชีวิตเป้าหมายนิ่งไปแล้ว...<br>...ช่วยไม่ได้นะ เอาไว้คราวหน้าล่ะกัน"""
NpcComOnLastCapture#0,"""อุปกรณ์เทเลพอตร้อนเกินไป...<br>เราจะใช้งานได้อีกเพียงครั้งเดียวเท่านั้น!<br>ท่านต้องระวังให้ดีนะ!"""
NpcComOnBegin#1,"""$(0)ですっ！<br>専用の装置を使って<br>捕まえちゃってくださいー！"""
NpcComOnAfterBegin#1,"""捕獲装置は$(0)に出しました！<br>なんとか誘導して、捕獲を<br>お願いしますー！"""
NpcComOnSuccess#1,"""/face2 対象の捕獲成功ですー！<br>お見事な動きでしたっ！"""
NpcComOnFailure#1,"""/face6 こ、これ以上は無理みたいですー……<br>通常の任務に戻っちゃってください。"""
NpcComOnEnableCapture#1,"""対象を捕獲有効範囲内に捕捉！<br>今です！<br>捕獲装置の起動を！"""
NpcComOnCaptureSwitch#1,"""タイミングはいいですよー。<br>あとは対象を有効範囲内で<br>がっちり抑えてください！"""
NpcComOnDisableCapture#1,"""/face4 今は捕獲装置が使えないんですー！<br>まずは対象を範囲内に<br>誘導しましょうー！"""
NpcComOnSuccessCapture#1,"""/face2 対象の捕獲、成功です－！<br>転送してしまいますからねー！"""
NpcComOnFailedCapture#1,"""/face4 あっ、ああっ、捕獲失敗です！<br>有効範囲は限られていますので<br>気をつけてくださいー！"""
NpcComOnAttackTarget#1,"""/face4 あのっ、あのあのっ！<br>目標はあくまで捕獲ですよー！<br>対象への攻撃は避けてくださいー！"""
NpcComOnDeadTarget#1,"""/face6 捕獲対象の生体反応、消失……<br>……うーん、仕方ありません。<br>また次の機会ですね。"""
NpcComOnLastCapture#1,"""転送装置がちょっとキツそう……<br>あと１回が限度ですー！<br>慎重にやってくださいねー！"""
