name01#0,"""コフィー"""
name02#0,"""シエラ"""
text01#0,"""森林エリアでの活動実績から<br>惑星アムドゥスキアの火山洞窟エリアの<br>探索を許可します。"""
text02#0,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「火山洞窟探索」を<br>最深部まで踏破することが条件です。"""
text03#0,"""貴方のさらなる活躍を<br>期待しています。"""
text01#1,"""火山洞窟エリアでの活動実績から<br>惑星リリーパの砂漠エリアの<br>探索を許可します。"""
text02#1,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「砂漠探索」を<br>最深部まで踏破することが条件です。"""
text03#1,"""また、惑星ウォパルの<br>海岸エリアも<br>同時に探索可能となります。"""
text04#0,"""フリーフィールド「海岸探索」を<br>最深部まで踏破することで<br>こちらも探索エリアが拡大します。"""
text05#0,"""貴方のさらなる活躍を<br>期待しています。"""
text01#2,"""砂漠エリアでの活動実績から<br>惑星ナベリウスの凍土エリアの<br>探索を許可します。"""
text02#2,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「凍土探索」を<br>最深部まで踏破することが条件です。"""
text03#2,"""貴方のさらなる活躍を<br>期待しています。"""
text01#3,"""凍土エリアでの活動実績から<br>惑星リリーパの地下坑道エリアの<br>探索を許可します。"""
text02#3,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「地下坑道探索」を<br>最深部まで踏破することが条件です。"""
text03#3,"""貴方のさらなる活躍を<br>期待しています。"""
text01#4,"""地下坑道エリアでの活動実績から<br>惑星アムドゥスキアの浮遊大陸エリアの<br>探索を許可します。"""
text02#4,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「浮遊大陸探索」を<br>最深部まで踏破することが条件です。"""
text03#4,"""貴方のさらなる活躍を<br>期待しています。"""
text01#5,"""浮遊大陸エリアでの活動実績から<br>惑星ナベリウスの遺跡エリアの<br>探索を許可します。"""
text02#5,"""また、惑星アムドゥスキアの<br>龍祭壇エリアも<br>同時に探索可能となります。"""
text03#5,"""貴方のさらなる活躍を<br>期待しています。"""
text01#6,"""海岸エリアでの活動実績から<br>惑星リリーパの採掘場跡エリアの<br>探索を許可します。"""
text02#6,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「採掘場跡探索」を<br>最深部まで踏破することが条件です。"""
text03#6,"""また、惑星ハルコタンの<br>白ノ領域エリアも<br>同時に探索可能となります。"""
text04#1,"""フリーフィールド「白ノ領域探索」を<br>最深部まで踏破することで<br>こちらも探索エリアが拡大します。"""
text05#1,"""貴方のさらなる活躍を<br>期待しています。"""
text01#7,"""採掘場跡エリアでの活動実績から<br>惑星ウォパルの海底エリアの<br>探索を許可します。"""
text02#7,"""貴方のさらなる活躍を<br>期待しています。"""
text01#8,"""白ノ領域エリアでの活動実績から<br>惑星ウォパルの浮上施設エリアの<br>探索を許可します。"""
text02#8,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「浮上施設探索」を<br>最深部まで踏破することが条件です。"""
text03#7,"""また、惑星地球の<br>東京エリアも<br>同時に探索可能となります。"""
text04#2,"""フリーフィールド「東京探索」を<br>最深部まで踏破することで<br>こちらも探索エリアが拡大します。"""
text05#2,"""貴方のさらなる活躍を<br>期待しています。"""
text01#9,"""浮上施設エリアでの活動実績から<br>惑星ハルコタンの黒ノ領域エリアの<br>探索を許可します。"""
text02#9,"""貴方のさらなる活躍を<br>期待しています。"""
text01#10,"""東京エリアでの活動実績から<br>惑星地球のラスベガスエリアの<br>探索を許可します。"""
text02#10,"""貴方のさらなる活躍を<br>期待しています。"""
text01#11,"""貴方の活動実績から<br>惑星地球の東京エリアの<br>探索を許可します。"""
text02#11,"""さらなる探索エリアの拡大を目指すなら<br>フリーフィールド「東京探索」を<br>最深部まで踏破することが条件です。"""
text03#8,"""貴方のさらなる活躍を<br>期待しています。"""
text01#12,"""<%me>さん！<br>異世界オメガで新たに発見された<br>幻惑の森の探索許可が下りました！"""
text02#12,"""マナの状態が安定しているため<br>自由探索が可能ですが、強力な反応も<br>確認されています。ご注意ください！"""
