11_voice_NPC_5002_102#0,"""อย่าหาว่าชั้นจุ้นจ้านเชียวล่ะ!<br>แต่รู้ไหม Mag น่ะ ถือว่าเป็นสิ่งที่<br>สะท้อนจิตใจของเจ้าของเลยนะ?"""
text02#0,"""ความสามารถที่เจริญเติบโตเองก็จะเปลี่ยนแปลง<br>ไปตามอาหารที่เธอให้ แถมยังสามารถปรับรูปแบบ<br>การโจมตีได้หลากหลายอีกด้วย......"""
text03#0,"""เพื่อให้เป็น Mag เฉพาะของเธอคนเดียว! <br>วิธีการเลี้ยงดูจึงเป็นสิ่งที่สำคัญมาก"""
text04#0,"""......อะแฮ่ม ดูท่าชั้นจะใส่อารมณ์มากไปหน่อย<br>เอาเถอะ จะยังไงก็แล้วแต่ การเลี้ยงดู Mag น่ะ <br>ต้องเริ่มจากการให้อาหารมันซะก่อน!"""
text05#0,"""ถ้างั้น ก็ลองให้อาหารกับ Mag ดูนะ<br>ชั้นเชื่อว่ามันจะต้องดีใจแน่ๆ"""
11_voice_NPC_5002_102#1,"""おせっかいとか言わないの！<br>マグはね、所持者の心を映す鏡とまで<br>言われたりもするのよ？"""
text02#1,"""あげるエサによって成長する能力も<br>変わったりするし、攻撃方法なんかも<br>いろいろ調整できるし……"""
text03#1,"""自分専用のマグ！\u3000と言う意味で<br>育成方針ってのは本当に重要なんだよ。"""
text04#1,"""……こほん。熱くなっちゃった。<br>まあ、なにはともあれ、マグの育成は<br>エサをあげることからはじまるの！"""
text05#1,"""それじゃ、マグにエサをあげてみて。<br>きっと喜んでくれるから。"""
text00#0,"""เกี่ยวกับวิธีการมอบไอเทมให้กับ Mag"""
text01#0,"""อธิบายเกี่ยวกับวิธีการให้ไอเทมกับ Mag<br><br>Mag จะเจริญเติบโตขึ้น และสามารถ<br>เพิ่มพารามิเตอร์ของ Support Lv.ได้<br>เมื่อมีการมอบไอเทมให้กับมัน<br><br>เปิดเมนูและเลือกที่หัวข้อ Mag<br>จะปรากฏข้อมูล Mag<br>จากนั้น ให้ท่านเลือก [ให้ Item] <br>เพื่อมอบไอเทมให้กับมัน"""
text02#2,"""เมื่อเลือกที่ [ให้ Item] <br>และให้ไอเทมกับ Mag แล้ว<br>Mag ของท่านก็จะเจริญเติบโตขึ้น<br><br>การเพิ่ม – ลดของ Support Lv.<br>จะแตกต่างกันไปตามแต่ละไอเทม<br><br>นอกจากนี้ หาก Energy ของ Mag สูงเกินกว่าระดับหนึ่ง<br>ก็จะไม่สามารถให้ไอเทมกับ Mag ได้ ดังนั้นกรุณาระวังด้วย"""
text00#1,"""マグにアイテムを与える方法について"""
text01#1,"""マグにアイテムを与える方法<br>について説明します。<br><br>マグはアイテムを与えることで成長し、<br>パラメータの支援レベルを<br>上げることが出来ます。<br><br>メニューからマグ一覧を開き、<br>マグの情報を表示します。<br>その後「アイテムを与える」の<br>コマンドを選択しましょう。"""
text02#3,"""「アイテムを与える」を選ぶと、<br>マグにアイテムを与えて<br>成長させることができます。<br><br>アイテムの種類によって<br>どの支援レベルが上昇・下降するか異なります。<br><br>またマグのエネルギーが一定以上あると<br>アイテムを与えられないので注意しましょう。"""
