Title#0,"""不速之客的巨大龍"""
Explanation#0,"""在ARKS SHIP內突然出現的<br>達卡和龍族襲擊了市區。<br>緊急、殲滅市區內的達卡和龍族<br>鎮壓此狀況。<br>尤其有報告說有多個巨大的龍族造成了很大的災害<br><br>接受任務的ARKS各成員要注意。<br>――――――――――――――――――――<br>失敗條件/在最深處敗北、超過限制時間"""
Title#1,"""招かれざる巨大龍"""
Explanation#1,"""突如アークスシップ内に出現した<br>ダーカーと龍族に市街地が襲撃されている。<br>至急、市街地内のダーカーと龍族を<br>殲滅しつつ事態を鎮圧せよ。<br>特に複数の巨大な龍族から甚大な被害を<br>被っているとの報告を受けているため<br>任務に当たるアークス各員は注意されたし。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
urgency_outline_502010#0,"""朝最深處前進！"""
urgency_outline_502010#1,"""最深部を目指せ！"""
urgency_begin_502010#0,"""朝最深處前進！"""
urgency_begin_502010#1,"""最深部を目指せ！"""
