name01#0,"""Fourier"""
name01#1,"""フーリエ"""
text00#0,"""ขอบคุณค่ะ !<br>แล้วไว้ช่วยอีกนะคะ !"""
text01#0,"""ขอบคุณมากค่ะ !<br>ดีจังที่ขอร้องคุณ<br>แล้วเจอกันใหม่นะคะ"""
text02#0,"""อ๊ะ เสร็จแล้วใช่มั้ยคะ !<br>ออกมาสวยจังเลย !<br>ขอบคุณมากค่า"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""助かりました！<br>またよろしくお願いしますね！"""
text01#1,"""今回はありがとうございました！<br>頼んで良かったです。<br>またお願いしますね！"""
text02#1,"""あ、できたんですね！<br>いい出来ですね！<br>ありがとうございます！"""
text03#1,"""ありがとう03"""
text00#2,"""ว้าว สุดยอด !<br>ยิ่งกว่าที่คิดซะอีก !<br>ขอบคุณมากๆเลยค่ะ !"""
text01#2,"""ว้าว ยอดเลย ! ไม่คิดว่าจะขนาดนี้ !<br>ขอบพระคุณมากค่ะ !"""
text02#2,"""สุดยอด ผลงานชิ้นเอกเลยนะคะเนี่ย<br>ฮิฮิ ดีใจจัง<br>ขอบคุณมากนะคะ !"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""わわっ、すっごい！<br>想定以上です！<br>ありがとうございました！"""
text01#3,"""わあ、ステキ！\u3000想像以上です！<br>ありがとうございます！"""
text02#3,"""すごい、大成功ッて感じですね。<br>ふふっ、嬉しいです。<br>ありがとうございました！"""
text03#3,"""本当にありがとう03"""
