st_065110_0130#0,"""……！<br>世界から、<%me>さんの<br>痕跡が消えていく……！？"""
st_065110_0135#0,"""えっ？<br>突然どうしたのよハリエット！<br>守護輝士になにかあったの！？"""
st_065110_0140#0,"""わかりません……<br>でもそんな、まさか……！"""
st_065110_0150#0,"""その、まさかみたいだぜ。<br>あの馬鹿、全部一人で何とかする気らしい。"""
st_065110_0155#0,"""って、ええええっ！<br>ハリエット！\u3000あれ、あれ！"""
st_065110_0160#0,"""貴方は……"""
st_065110_0165#0,"""元神様！"""
st_065110_0170#0,"""今度こそゆっくり寝てるつもりだったんだが<br>こいつにたたき起こされちまってな。"""
st_065110_0180#0,"""っ……！<br>ヴァルナ……！？"""
st_065110_0185#0,"""ちょっ、アンタ！<br>こないだ負けたばかりのクセに<br>またなにしに来たってのよ！"""
st_065110_0190#0,"""……今更、いかなる言葉を紡ごうとも<br>それは無意味でしょう。<br>ただ、行動によって義を示すのみ。"""
st_065110_0200#0,"""ですからハリエット様。<br>この場は僕に任せ、行ってください。<br>己の為したい事を、為してください。"""
st_065110_0210#0,"""ハリエット様の為にお仕えすることこそ<br>僕の……ヴァルナの目的です。"""
st_065110_0220#0,"""……ありがとう、ヴァルナ。"""
name01#0,"""初代クラリスクレイス"""
name02#0,"""？？？"""
