name01#0,"""アスタルテ"""
11_voice_NPC_5098_208#0,"""おめでとうございます！<br><c ff4f3f>ミッション達成<c>です。"""
11_voice_NPC_5098_209#0,"""<c ff4f3f>ミッションを達成<c>すると<br><c ff4f3f>報酬<c>を受け取ることができます。"""
11_voice_NPC_5098_210#0,"""「<c ff4f3f>クエスト<c>」の<br>「<c ff4f3f>アークスミッション<c>」を選択し<br><c ff4f3f>報酬<c>を受け取ってください。"""
11_voice_NPC_5098_211#0,"""<c ff4f3f>報酬<c>を受け取れましたね！<br>以上が、<c ff4f3f>ミッション<c>の進め方です。"""
11_voice_NPC_5098_212#0,"""ゲーム進行で増える<c ff4f3f>メインミッション<c>と<br>毎日、毎週変わる<c ff4f3f>デイリーミッション<c><br><c ff4f3f>ウィークリーミッション<c>があります。"""
11_voice_NPC_5098_213#0,"""色々な<c ff4f3f>報酬<c>がもらえますので<br>どんどん新しい<c ff4f3f>ミッション<c>に<br>挑戦してみてくださいね。"""
11_voice_NPC_5098_214#0,"""それでは、今後とも<br>ご活躍をお祈りしています！"""
text100#0,"""<%Decide>で<yellow>アークスミッション<c>を選択してください。"""
text110#0,"""<%Decide>で<yellow>報酬を受け取ってください。<c>"""
text120#0,"""<%Cancel>でアークスミッションを<yellow>閉じてください。<c>"""
text130#0,"""<%Cancel>でメインメニューを<yellow>閉じてください。<c>"""
text140#0,"""デイリーミッション、ウィークリーミッションが解放されました。"""
text150#0,"""色々なクエストがプレイ可能になりました！"""
