ssc_501020_0010#0,"""あれ、どうしたの？"""
ssc_501020_0020#0,"""アイナの姿が見えたから。"""
ssc_501020_0030#0,"""ガロアの墓参りに。"""
ssc_501020_0040#0,"""そうなんだ。"""
ssc_501020_0050#0,"""……ときどき来てるんだよ。<br>ここに。"""
ssc_501020_0060#0,"""そうなんだ。<br>ありがとう。"""
ssc_501020_0070#0,"""……あたしも、<br>ときどき来てるんだ。"""
ssc_501020_0080#0,"""お父さんに、いろいろと報告しているの。"""
ssc_501020_0090#0,"""この前こんなことがあったよとか、<br>今度、こういうことをしようと思ってるんだとか。"""
ssc_501020_0100#0,"""お墓の手入れをしながら、そうやってお話ししてると、<br>だんだん心が落ち着いてくるんだ。"""
ssc_501020_0110#0,"""そして、昔のことを思いだすの……。"""
ssc_501020_0120#0,"""ひとりでグライドの練習をしてて、<br>高い木に引っかかって、降りられなくなった日のこと。"""
ssc_501020_0130#0,"""テイムズを追いかけて、<br>気づいたら迷子になってた日のこと。"""
ssc_501020_0140#0,"""そのたびに、お父さんがすっ飛んできて、<br>すごい剣幕で怒られた。"""
ssc_501020_0150#0,"""誰も見てないところで、<br>危ないことをするんじゃないって。"""
ssc_501020_0160#0,"""そんな、あたしとお父さんのあいだに、<br>町のみんなが割って入ってきて……。"""
ssc_501020_0170#0,"""心配したり、励ましたり、<br>お父さんに文句を言ったりして……。"""
ssc_501020_0180#0,"""……昔は、そういうのは<br>“特別扱い”されてるみたいで嫌だった。"""
ssc_501020_0190#0,"""……でも今は、本当にあたしのことを<br>大切に思ってくれてたんだなってわかる。"""
ssc_501020_0200#0,"""………。"""
ssc_501020_0210#0,"""みんなに……、<br>お父さんに会えないのは……。"""
ssc_501020_0220#0,"""……寂しい。"""
ssc_501020_0230#0,"""……アイナ。"""
ssc_501020_0240#0,"""……大丈夫？"""
ssc_501020_0250#0,"""……大丈夫だよ。"""
ssc_501020_0260#0,"""お父さんたちが繋いでくれた命、<br>大切にしないといけないね。"""
ssc_501020_0270#0,"""……うん。平気だよ。"""
ssc_501020_0280#0,"""まだ、やることがたくさんあるから。<br>今は前を向かないとね。"""
ssc_501020_0290#0,"""それじゃ、今日の報告をしておこうかな。"""
ssc_501020_0300#0,"""キミも一緒にいい？"""
