name_7401#0,"""スピーダ"""
ssn_015160_001_0001#0,"""よくぞ来てくれたァ！<br>俺は訓練教官のスピーダってんだ。"""
ssn_015160_001_0002#0,"""ハァ……聞いてくれよ。<br>最近のアークスは、“走り”がなってネェんだわ。"""
ssn_015160_001_0003#0,"""それでよォ、その走りを<br>バチボコに鍛えられるマシーンがあるんだわ。"""
ssn_015160_001_0004#0,"""あァ？\u3000さっきから情報が増えてネェって？<br>細かいことはいいだろうがよォ。"""
ssn_015160_001_0005#0,"""で、マシーンを使ったお前さんの走りを、<br>ちょっくら見せてほしいってコトよ。"""
ssn_015160_001_0201#0,"""オゥ……そうか。<br>お前さんの走る姿が見たかったんだがなァ。"""
ssn_015160_001_0301#0,"""ヘーイ！<br>どうよお前さん、体動かしてっかァ？"""
ssn_015160_001_0302#0,"""スカッと走って、<br>スッキリしようぜ！"""
ssn_015160_001_0401#0,"""よぅ、来たかァ！<br>お前さん、“風”になりてェよな？"""
ssn_015160_001_0402#0,"""なァ？\u3000なりてェだろ？<br>あるんだよ、なれる方法がよォ。"""
ssn_015160_001_0403#0,"""前に教えたマシーンで、<br>フローティングボードの“走り”が極められんだわ。"""
ssn_015160_001_0404#0,"""ってワケで、<br>ちょっくらやってみてほしいってワケよ。"""
ssn_015160_001_0501#0,"""オゥ……そうか。<br>お前さんが風になるトコ見たかったんだがなァ。"""
npc_menu_0001#0,"""タスクを開く"""
npc_menu_0002#0,"""“フィールドレース”について"""
npc_menu_0003#0,"""“フィールドレース：走破”について"""
npc_menu_0004#0,"""聞きたいことはない"""
npc_menu_0005#0,"""“フィールドレース：板操”について"""
