name01#0,"""希爾達"""
name02#0,"""玩家操作方法"""
linewindow#0,"""關於『角色操作』"""
text00#0,"""關於『角色操作』"""
text01#0,"""教學<br>『角色操作』<br>說明。"""
text02#0,"""角色移動是用<%LStick>執行。<br>"""
text03#0,"""照相機操作是用<%RStick>執行。"""
text04#0,"""跳躍是以<%Jump>執行。<br><br>"""
text05#0,"""普通攻擊是以<%NormalAttack>執行。<br><br><br>"""
text06#0,"""光子技能或是法術的使用是用<%PhotonArts>執行。<br>抓準時機使用普通攻擊或是光子技能<br>可以反複進行強力的「完美攻擊」。"""
text07#0,"""緊急閃避是以<%Avoid>執行。"""
text08#0,"""按下<%Access>時可以拾取道具。<br>按住<%Access>即可連續拾取道具。"""
text09#0,"""使用登錄在快捷列中的道具時<br>可以游標對準想使用的道具再透過<%SubPalette>使用。<br><br>游標左：<%SubPaletteLeft><br>游標右：<%SubPaletteRight><br>使用：<%SubPalette>"""
text10#0,"""以<%PaletteReverse>或<%PaletteForce> 顯示武器快捷列之後<br>即可切換以<%SubPaletteLeft>或<%SubPaletteRight>使用的快捷列。"""
text11#0,"""以下述操作移動角色。<br><br>前：<%MoveForward><br>後：<%MoveBack><br>左：<%MoveLeft><br>右：<%MoveRight>"""
text12#0,"""移動鼠標即可操作照相機。"""
text13#0,"""跳躍是以<%Jump>執行。"""
text14#0,"""普通攻擊是以<%NormalAttack>執行。"""
text15#0,"""光子技能或是法術的使用是用<%PhotonArts>執行。<br>抓準時機使用普通攻擊或是光子技能<br>可以反複進行強力的「完美攻擊」。"""
text16#0,"""緊急閃避是以<%Avoid>執行。"""
text17#0,"""道具可以<%Access>拾取。按住<%Access><br>即可連續拾取道具。"""
text18#0,"""使用登錄在快捷列中的道具時<br>可以游標對準想使用的道具再透過<%SubPalette>使用。<br><br>游標左：<%SubPaletteLeft><br>游標右：<%SubPaletteRight><br>使用：<%SubPalette>"""
text19#0,"""以<%PaletteReverse>或<%PaletteForce> 顯示武器快捷列之後<br>即可切換以<%SubPaletteLeft>或<%SubPaletteRight>使用的快捷列。"""
