ra_051010_0001#0,"""A.P.241/10/3"""
ra_051010_0010#0,"""……ということで、今回は<br>私の方でごまかしておきました。"""
ra_051010_0020#0,"""いくら守護輝士とはいえ、定期的な<br>メディカルチェックは強制ですよ。<br>わかりましたね、マトイさん。"""
ra_051010_0030#0,"""はーい。"""
ra_051010_0040#0,"""<%me>さんも<br>笑ってますけど、同じですからね。<br>守護輝士を笠に着ないでくださいね。"""
ra_051010_0050#0,"""<%me>と二代目ちゃん<br>ギーくんやリーちゃんとはまた違う<br>守護輝士って特殊な役割なんだよね。"""
ra_051010_0060#0,"""二人がそうなるまでに<br>一体どんなことがあったのかな。"""
ra_051010_0070#0,"""それはもう、ダーカーを相手にした<br>壮大かつとんでもない長きにわたる<br>戦いが続いてきたんですよ！"""
ra_051010_0080#0,"""……まあ、私も生まれる前なので<br>見てきたわけではないんですが。"""
ra_051010_0090#0,"""ねえ、シエラちゃん、二人の足跡を<br>振り返るみたいなやつ、ないかな？"""
ra_051010_0100#0,"""わたしがいなくなったあとのアークスに<br>何があったかとか見てみたいんだよね。<br>記録を振り返るー、って感じでさ。"""
ra_051010_0110#0,"""いや、流石にそんなのは……"""
ra_051010_0120#0,"""ふっふっふ、ありますよ！"""
ra_051010_0130#0,"""あるの！？"""
ra_051010_0140#0,"""<%me>さんの<br>経験はとっても貴重なものですから<br>データベース化は当然のことです！"""
ra_051010_0150#0,"""……まだ情報の整理が出来てないので<br><%me>さんが一緒でないと<br>正確さが定かではありませんが。"""
ra_051010_0160#0,"""だったら<%me><br>一緒に今までを振り返ろうよ。"""
ra_051010_0170#0,"""情報整理も進むし、わたしもみんなの<br>過去のことを知ることができるし<br>お得な感じ、じゃないかな。"""
