Title#0,"""採掘基地防衛戦：侵入"""
Explanation#0,"""緊急聯絡ARKS各位成員。<br>在莉莉芭行星的採掘基地附近<br>已發現多個黑暗種的反應。<br>雖可仰賴新設置的防護壁<br>避免其同時攻擊全基地<br>但防護壁的耐久力是有限的。<br>各成員需阻止黑暗種入侵，並加以擊退。<br>――――――――――――――――――――<br>全6攻勢<br>失敗條件/全據點陷落"""
SimpleExplanation#0,"""防衛採掘基地！"""
Wave1_Talk#0,"""黑暗種出現了！<br>不知道哪個據點會被攻擊，<br>但請伸出援手保衛據點吧！"""
Wave2_Talk#0,"""下一個黑暗種攻過來了！<br>請大家互相提點，<br>一起合作防衛敵人吧！"""
Wave3_Talk#0,"""有、有未確認的反應！<br>我感覺出現了黑暗種的兵器。<br>一看到請立即給予破壞！"""
Wave4_Talk#0,"""哇哇！<br>確認出現複數以上的強敵反應！<br>請注意！"""
Wave5_Talk#0,"""哇哇，超強烈的反應……！<br>或許會出現大型黑暗種<br>也說不定！"""
Wave6_Talk#0,"""這好像是最後了！<br>再加把勁！<br>快來緊守著據點！"""
NpcComMsg1#0,"""まもなく状況開始ですっ！<br>反応を見るに、ダーカーが何度も何度も<br>襲ってきそうです！\u3000注意して下さい！"""
NpcComMsg2#0,"""落ちてる結晶のエネルギーを使えば<br>守りを固めることもできますよっ！<br>以上、連絡おしまいです！\u3000ご武運を！"""
a1#0,"""達成特定委託"""
a2#0,"""達成特定委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
