Name#0,"""รอผู้ให้ความช่วยเหลือ"""
Name#1,"""要救助者"""
Rescue1#0,"""ขอบคุณที่ช่วยนะ!"""
Rescue2#0,"""สมเป็น ARKS จริงๆ!"""
Rescue3#0,"""เฮ้อ!<br>นึกว่าจะไม่รอดซะแล้ว!"""
Rescue4#0,"""ขอบคุณมากนะ"""
Rescue5#0,"""ข้าเป็นหนี้ท่านแล้ว<br>ไปก่อนนะ"""
Rescue6#0,"""นึกแล้วว่าท่านต้องมาช่วย!"""
Rescue7#0,"""ต้องมีคนที่หนีไม่ทันอยู่อีกแน่ <br>ไปช่วยพวกเขาด้วยนะ!"""
Rescue8#0,"""อ๊า ร้อนแทบตายแหนะ"""
Rescue9#0,"""แฮ่ก...แฮ่ก...<br>ปลอดภัยแล้ว...เหรอ...?"""
Rescue10#0,"""ร้อนจะตายอยู่แล้ว!"""
Rescue1#1,"""助けてくれてありがと！"""
Rescue2#1,"""さっすがアークス！"""
Rescue3#1,"""ふー！<br>もうダメかと思ったぁ！"""
Rescue4#1,"""どうもありがとう。"""
Rescue5#1,"""恩に着ますわ。<br>ごきげんよう。"""
Rescue6#1,"""助けてくれると思ってたわよ！"""
Rescue7#1,"""他にも逃げ遅れた人がいるはず。<br>助けてあげて！"""
Rescue8#1,"""あーん、熱かったー。"""
Rescue9#1,"""はぁ……はぁ……<br>助かった……の……？"""
Rescue10#1,"""熱かったよー！"""
Rescue#0,"""เซ็ตพิกัด!"""
Rescue#1,"""座標セット！"""
