NAME#0,"""アンネリーゼ"""
NICKNAME#0,"""クエストカウンター係員"""
HELLO#0,"""さっさと選びなさいよ！"""
HELLO_FAV0#0,"""さっさと選びなさいよ！"""
HELLO_FAV1#0,"""さっさと選びなさいよ！"""
HELLO_FAV2#0,"""さっさと選びなさいよ！"""
HELLO_FAV3#0,"""さっさと選びなさいよ！"""
HELLO_FAV4#0,"""さっさと選びなさいよ！"""
Q0#0,"""さっさと選びなさいよ！"""
TALK_BYE_QUEST#0,"""が、頑張ってきなさいよね！"""
GOODBYE#0,"""何よ、帰っちゃうの？"""
GOODBYE_FAV0#0,"""何よ、帰っちゃうの？"""
GOODBYE_FAV1#0,"""何よ、帰っちゃうの？"""
GOODBYE_FAV2#0,"""何よ、帰っちゃうの？"""
GOODBYE_FAV3#0,"""何よ、帰っちゃうの？"""
GOODBYE_FAV4#0,"""何よ、帰っちゃうの？"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""会話する"""
C_ORDER_ST#0,"""相談を聞く"""
