Name#0,"""ディナル"""
Trouble#0,"""火器管制にトラブル発生<br>一時撤退する"""
PassMessage#0,"""偵察飛行中"""
PassMessage2#0,"""編隊にて偵察任務中"""
DropHelpItem#0,"""救援物資を投下する"""
DropEnemy#0,"""物資の中に熱源反応……？"""
Shooting#0,"""目標確認、掃射する"""
FallMessage#0,"""くっ……これ以上の飛行は無理だ！<br>不時着する！"""
RequestDefense#0,"""被弾箇所の修理を開始する<br>救援を頼む"""
RequestDefense2#0,"""ここで機体を放棄するわけにはいかない<br>修理の間の救援を頼む"""
EnemyFront#0,"""前方より敵影。対処を求む"""
EnemyRight#0,"""右舷より敵影。対処を求む"""
EnemyBack#0,"""後方より敵影。対処を求む"""
EnemyLeft#0,"""左舷より敵影。対処を求む"""
Broken#0,"""損傷率拡大<br>あまり長くは持たない"""
Destroy#0,"""限界か……<br>機体を破棄、脱出する"""
SuccessDefence#0,"""コントロールの回復を確認<br>救援、感謝する"""
EvFallMessage#0,"""出力異常低下!?<br>再着陸する、援護を頼む！"""
EvRequestDefense#0,"""損傷が思った以上に大きかったようだ……<br>応急処置を行う、再度の援護を頼む！"""
EvBroken#0,"""これ以上の損傷はまずい……"""
EvDestroy#0,"""ここまでか……<br>すまない、機体を破棄する"""
EvSuccessDefence#0,"""迷惑をかけた<br>これで大丈夫だ、援護感謝する"""
EvDarker#0,"""何！？\u3000制御を奪われた！<br>非常事態につき、脱出する！"""
Trouble#1,"""計器類にトラブル発生<br>一旦撤退する"""
PassMessage#1,"""敵影捜索中"""
PassMessage2#1,"""偵察編隊飛行中"""
DropHelpItem#1,"""救援物資、投下"""
DropEnemy#1,"""妙な物資だったな……"""
Shooting#1,"""ターゲット確認、攻撃開始"""
FallMessage#1,"""くそ……コントロールが……！<br>不時着する！"""
RequestDefense#1,"""急ぎ修理を行う<br>その間の救援を頼む"""
RequestDefense2#1,"""ひどい状態だが、まだ直せるはずだ<br>修理の時間を稼いでほしい"""
EnemyFront#1,"""前方より敵影。対処を求む"""
EnemyRight#1,"""右舷より敵影。対処を求む"""
EnemyBack#1,"""後方より敵影。対処を求む"""
EnemyLeft#1,"""左舷より敵影。対処を求む"""
Broken#1,"""被弾箇所が多すぎる<br>これ以上はもたないぞ"""
Destroy#1,"""ここまでだな……<br>脱出する"""
SuccessDefence#1,"""応急処置が完了した<br>迅速な援護に感謝する"""
EvFallMessage#1,"""駆動機関の緊急停止を確認！<br>くそっ、再度不時着する！"""
EvRequestDefense#1,"""再度修理を行う<br>応急処置の間だけでいい、援護を頼む"""
EvBroken#1,"""これ以上の損傷はまずい……"""
EvDestroy#1,"""ここまでか……<br>すまない、機体を破棄する"""
EvSuccessDefence#1,"""迷惑をかけた<br>これで大丈夫だ、援護感謝する"""
EvDarker#1,"""何！？\u3000制御を奪われた！<br>非常事態につき、脱出する！"""
Trouble#2,"""原因不明のトラブルが発生した<br>一時撤退する"""
PassMessage#2,"""偵察任務中"""
PassMessage2#2,"""編隊にて敵影捜索中"""
DropHelpItem#2,"""救援物資を送る"""
DropEnemy#2,"""通常よりも重量があったな……"""
Shooting#2,"""目標を確認した"""
FallMessage#2,"""もう持たない……<br>くそ、不時着する！"""
RequestDefense#2,"""応急処置の間、救援を頼む"""
RequestDefense2#2,"""また飛べるはずだ……<br>修理の間、援護を頼む"""
EnemyFront#2,"""前方より敵影。対処を求む"""
EnemyRight#2,"""右舷より敵影。対処を求む"""
EnemyBack#2,"""後方より敵影。対処を求む"""
EnemyLeft#2,"""左舷より敵影。対処を求む"""
Broken#2,"""これ以上はもたない<br>至急援護を頼む"""
Destroy#2,"""ここまでか……<br>脱出する、後は頼む"""
SuccessDefence#2,"""間に合わせだが、これで飛べる<br>援護に感謝する"""
EvFallMessage#2,"""出力緊急低下……だと！<br>くっ……再度不時着する！"""
EvRequestDefense#2,"""間に合わせが祟ったか<br>再処置の間、救援を頼む"""
EvBroken#2,"""これ以上の損傷はまずい……"""
EvDestroy#2,"""ここまでか……<br>すまない、機体を破棄する"""
EvSuccessDefence#2,"""迷惑をかけた<br>これで大丈夫だ、援護感謝する"""
EvDarker#2,"""何！？\u3000制御を奪われた！<br>非常事態につき、脱出する！"""
