msc_012070_0010#0,"""待て、撃つな。敵ではない。"""
msc_012070_0020#0,"""わしは、ハーディ。“リテムシティ”所属のアークスだ。"""
msc_012070_0030#0,"""リテムシティというのは、<br>リテムリージョンにある町の名前ね。"""
msc_012070_0040#0,"""左様……。"""
msc_012070_0050#0,"""手を貸すべきかと思ったのだが、<br>なかなか見事な戦いぶりでな。"""
msc_012070_0060#0,"""つい見とれてしまったのだ。許されよ。"""
msc_012070_0070#0,"""聞いた？\u3000聞いた？<br>あたしたちもだいぶ強くなってるってことかな？"""
msc_012070_0080#0,"""あたしたちはそのリテムシティを目指して、<br>ここまで来たんです。"""
msc_012070_0090#0,"""よければ、行き方を教えてもらえますか？"""
msc_012070_0100#0,"""ここを南に進めばオアシスに出る。<br>その先が、リテムシティだ。"""
msc_012070_0110#0,"""わかりました。ありがとうございます。"""
msc_012070_0120#0,"""案内してやりたいが、偵察任務中でな。"""
msc_012070_0140#0,"""いずれまた会うこともあろう……ではな。"""
