name_7430#0,"""Shirase"""
ssn_014790_0001#0,"""Repairing machines is a really quite a stubbornly delicate process, you know."""
ssn_014790_0002#0,"""Even when there's just a little bit left to do, that \""little bit\"" could go either way..."""
ssn_014790_0101#0,"""Oh, me? I'm Shirase. I'm in charge of machine maintenance and repair around here."""
ssn_014790_0102#0,"""I was just about to continue working on a broken robot, actually."""
ssn_014790_0103#0,"""But, well, I ran into a snag..."""
ssn_014790_0104#0,"""I'm missing some parts, so I was looking around for something that I might be able to use..."""
ssn_014790_0105#0,"""You wouldn't happen to have anything that could help, would you?"""
ssn_014790_0201#0,"""...Yeah, I figured. I can't just ask out of the blue like that..."""
ssn_014790_0301#0,"""I really want to fix this robot."""
ssn_014790_0302#0,"""Do you have any Photon Chunks?"""
ssn_014790_0401#0,"""Give 10 Photon Chunks"""
ssn_014790_0402#0,"""Return"""
ssn_014790_0501_001#0,"""Thank you so much! I can fix the robot with this!"""
ssn_014790_0501_002#0,"""It seems these robots around here have been running since back when Central City was centered in Kvaris."""
ssn_014790_0501_003#0,"""So, yeah, some of them end up falling into disrepair like this guy."""
ssn_014790_0501_004#0,"""I'm not sure when that'll happen to these vendorbots, so I just want to make sure I'll be ready when they need maintenance."""
ssn_014790_0501_005#0,"""I mean, the little guys are working around the clock, so I figure it's the least I can do for them."""
ssn_014790_0501_006#0,"""Well, I'm gonna fix this guy up with those Photon Chunks. This should be enough..."""
ssn_014790_0501_007#0,"""Just you wait and see!"""
ssn_014790_0502#0,"""...Ah, I think I'm going to need a bit more... I'm so sorry to impose on you like this..."""
ssn_014790_0503#0,"""Ah, alright... Well, I'll be here, so whenever you can."""
ssn_014790_1001#0,"""Thanks again so much for those Photon Chunks."""
ssn_014790_1002#0,"""It's just... The repairs aren't quite done yet, you see."""
ssn_014790_1003#0,"""The more I look, the more I keep finding other areas that need tending to."""
ssn_014790_1004#0,"""If you don't mind, could I ask you you help me out again?"""
ssn_014790_1101#0,"""Y-Yeah, no, I totally understand. It's was pretty idealistic of me to assume, given the circumstances..."""
ssn_014790_1201#0,"""I haven't been able to fix the robot yet, but I don't intend on giving up."""
ssn_014790_1202#0,"""Do you have any Photon Quartz?"""
ssn_014790_1301#0,"""Give 10 Photon Quartz"""
ssn_014790_1302#0,"""Return"""
ssn_014790_1401_001#0,"""Thank you so much once again! Now I'll finally be able to repair this robot."""
ssn_014790_1401_002#0,"""This time, for sure. This robot will be repaired, mark my words!"""
ssn_014790_1401_003#0,"""It seems like the previous ARKS of Kvaris had been using these robots, but..."""
ssn_014790_1401_004#0,"""I've been finding data that indicates they've been running for much longer than even that."""
ssn_014790_1401_005#0,"""So I figure, if I can repair these robots, maybe I'll learn about some long lost technology, you know?"""
ssn_014790_1401_006#0,"""I get all giddy thinking I could be one step closer to uncovering some mysterious technology!"""
ssn_014790_1401_007#0,"""Anyways, I'm going to get started on these repairs."""
ssn_014790_1401_008#0,"""This could take some time, but I should be done by the time you take care of some of your own errands."""
ssn_014790_1401_009#0,"""I'll let you know when repairs are done, okay?"""
ssn_014790_1402#0,"""...Ah, I think I'm going to need a bit more... I'm so sorry to impose on you like this..."""
ssn_014790_1403#0,"""Ah, alright... Well, I'll be here, so whenever you can."""
ssn_014790_1501#0,"""Look, I was able to get it to work again!"""
ssn_014790_1502#0,"""I can't thank you enough for your help."""
ssn_014790_1503#0,"""If it weren't for you, who knows how many days or weeks it would have taken to get those materials."""
ssn_014790_1504#0,"""Hehe... It's cute, isn't it? I mean, okay, I might have grown a little attached, but still."""
ssn_014790_1505#0,"""There's a few bolts that need tightening here and there, but it's nothing I can't handle."""
ssn_014790_1506#0,"""Someday, I hope to be able to rebuild these little guys from scratch."""
ssn_014790_1507#0,"""I think learning more about this technology could really help improve our way of life."""
ssn_014790_1508#0,"""I hope you treat the vendorbots with just as much care as you showed this little fella, okay?"""
ssn_014790_1509#0,"""Thanks again!"""
ssn_014790_1601#0,"""I want to learn more about this technology, so I can put it to good use."""
ssn_014790_1602#0,"""I hope you treat the vendorbots with just as much care as you showed this little fella, okay?"""
ssn_014790_1701#0,"""This time, I'm certain I'll have it repaired."""
ssn_014790_1702#0,"""When I'm done, I'll be sure to contact you."""
ssn_014790_1801#0,"""Look, I was able to get it to work again!"""
ssn_014790_1802#0,"""I hope you treat the vendorbots with just as much care as you showed to this little fella, okay?"""
ssn_014790_1803#0,"""I want to learn more about this technology and use it to improve our way of life."""
