CampshipEnter#0,"""營地小船入口"""
NotAccessQuest#0,"""因為尚未接受任務無法連線。"""
WarehouseTitle#0,"""倉庫終端"""
PartnerObject_ErrorTitle#0,"""呼叫夥伴裝置"""
PartnerObject_Error1#0,"""現在無法使用呼叫夥伴裝置。"""
PartnerObject_Error2#0,"""此任務無法叫出夥伴。"""
PartnerObject_Error3#0,"""因為匹配設置，限制了伙伴的叫出。"""
GuildWarehouseTitle#0,"""公會倉庫終端"""
TerminalTitle#0,"""情報裝置"""
ShopTitle#0,"""商店裝置"""
MedicalTitle#0,"""醫學裝置"""
QuestTitle#0,"""任務櫃台裝置"""
ApcTitle#0,"""APC裝置"""
AccessFaild#0,"""確定之後就無法連線。"""
NonReader#0,"""此裝置只有公會LEADER可以連線。"""
NotClear#0,"""此裝置只有完成任務或是任務沒有失敗才能連線。"""
NotClearTelepipe#0,"""此裝置只有完成任務或是任務沒有失敗才能連線。"""
TerminalDisable#0,"""現在無法使用。"""
TerminalDisableAPC#0,"""現在無法使用。"""
TerminalDisableGuildRoom#0,"""因為沒有在公會倉庫購買，現在無法使用。<br><br>消耗公會點數在公會倉庫購買就可以使用。<br><br>※要使用公會倉庫，必須要配合VIP服務的利用。"""
TerminalDisableGuildMember#0,"""因為你的職位是訪客而無法使用。<br>要使用必須要有一般成員或以上的職位。<br><br>※要使用公會倉庫，必須要配合VIP服務的使用。"""
TerminalDisableGuildMember2#0,"""<pict Arcscash><c ff4f3f>AC消費内容<c><br><br>沒有選擇的功能的使用權，或是已過使用期限。<br><br><br>購買<yellow>「VIP服務」<c>後，可直接讓功能為有效，要進入購買確認畫面麼?<br><br><red>※如果想買個別功能的票券，請在主菜單的「AC商店」購買。<c><br>"""
TerminalDisableCancelTower#0,"""在隊伍全員返回營地小船前都無法使用。"""
RetryFaild#0,"""クエストの受注期間が過ぎているため、<br>もう一度挑戦することができませんでした。"""
ClearLimit#0,"""クエストのクリア回数制限を超えているため<br>もう一度挑戦することができませんでした。"""
QuestDropPenalty#0,"""クエストの受注を制限されているため<br>このクエストは受注できません。"""
QuestInExtra#0,"""このクエストは、<br>キャンペーン対象期間となったため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。"""
QuestOutExtra#0,"""このクエストは、<br>キャンペーン対象期間が終了したため<br>もう一度挑戦することができませんでした。<br>クエストを再度、受注しなおしてください。"""
CantStartProhibitQuestDropTitleCnt#0,"""任務櫃台裝置"""
CantStartProhibitQuestDropTitleTlp#0,"""テレポーター"""
CantStartProhibitQuestDropForStart#0,"""現在無法使用。"""
