name01#0,"""Zeno"""
name01#1,"""ゼノ"""
text01#0,"""ว้าว เราทำได้<br>แล้วตอนนี้ล่ะ!"""
text02#0,"""พวกมันดุร้ายหากเทียบกับเมื่อก่อนที่มันเคยเป็น"""
11_voice_NPC_5001_104#0,"""ยังไม่ได้รับการพิสูจน์เลย <br>แต่ข้าพนันกับท่านแบบหมดตัวได้<br>ว่ามันต้องมีอะไรเกิดขึ้นกับ D-arkers"""
text04#0,"""แต่ข้าจะปล่อยพวกทฤษฎีไว้กับนักวิทยาศาสตร์<br>อย่างไรก็ดี เยี่ยมมาก <%me>"""
text05#0,"""กลับกันเถอะ"""
text01#1,"""ふぃー、なんとかなったな。<br>いやはや、いきなり出てきやがるから<br>びっくりしたぜ。"""
text02#1,"""しっかし、やっぱ昔よりずいぶんと<br>凶暴化しちゃってるな、こいつら。"""
11_voice_NPC_5001_104#1,"""まだ証明はされてないみたいだが<br>ダーカーのせい……なんだろうなぁ。<br>それ以外考えられねえし。"""
text04#1,"""ま、難しいことは学者連中が考えるか。<br>なにはともあれ、お疲れだったな<br><%me>！"""
text05#1,"""そんじゃ、帰ろうぜ。"""
