name01#0,"""Cofy"""
name01#1,"""コフィー"""
11_voice_NPC_5050_100#0,"""เจ้าพร้อมหรือยังสำหรับ Exploration<br>Permit Test ในการไปสำรวจ White Summit,<br>Planet Naberius ที่กำลังจะเริ่มขึ้น"""
text02#0,"""มาลองดูกัน ขอให้โชคดี"""
text100#0,"""เกี่ยวกับ [เครื่องป้องกัน]"""
text101#0,"""ข้อมูลเกี่ยวกับ [เครื่องป้องกัน]<br><br>การโจมตีของศัตรูจะรุนแรงขึ้นเรื่อยๆตามเควสท์ที่ยากขึ้น<br><br>จึงควรเตรียมเครื่องป้องกันให้พร้อมรับการโจมตีที่รุนแรงนั้น<br>- สวมใส่เครื่องป้องกันที่ผ่านการ Augmentation ด้าน Body, React, Mind หรือ Resist มาแล้วเป็นต้น<br>- ตีบวกเครื่องป้องกันเพื่อให้พลังป้องกันสูงขึ้น<br>- เลี้ยง Mag ให้พัฒนา เพื่อพลังป้องกันที่สูงขึ้น"""
text102#0,"""ร้านรับตีบวกชุดป้องกันคือ ItemLab ที่อยู่บน ShoppingArea<br>หากรู้สึกว่าสู้ไม่ไหว ลองกลับมาตีบวกดูนะคะ"""
11_voice_NPC_5050_100#1,"""準備はよろしいですか？<br>それでは、惑星ナベリウス<br>凍土の探索許可申請試練、開始。"""
text02#1,"""持てる力と技術を示してください。<br>健闘を期待します。"""
text100#1,"""『防具』について"""
text101#1,"""『防具』について説明します。<br><br>クエストを進行していくと攻撃力の高いエネミーが出現します。<br><br>強力な攻撃に耐えるには、いくつかの対策が行えます。<br>・ボディ、リアクト、マインド、レジストなどの<br>\u3000特殊能力が付いている防具を装備する。<br>・防具自体を強化して、防御力を上昇させる。<br>・マグを成長させて、防御力を上昇させる。"""
text102#1,"""防具の強化は、ショップエリアのアイテムラボで行えます。<br>苦戦している場合には、強化してみましょう。"""
