name01#0,"""Hilda"""
name02#0,"""How to use Items"""
11_voice_navi02_014#0,"""We'll explain how to use recovery items."""
text11#0,"""We'll temporarily decrease your physical strength.<br>Use the Monomate that you own<br>and recover your strength."""
text00#0,"""About HP Recovery"""
text01#0,"""Damaged<br>When your HP (Hit Points) become zero,<br>you will be incapacitated.<br><br>As your HP decreases, you can use a recovery item<br>such as a <yellow>Monomate<c>, to restore your HP."""
text02#0,"""Now let's use the recovery item, Monomate, <yellow>registered in the subpalette<c>.<br><br>You can use items in your subpalette by pressing<br>the number associated with them, or by pressing <%SubPalette>.<br><br><red>※You can change the position of the<br>selector by pressing <c><%SubPaletteLeft><red>or<c><%SubPaletteRight>.<c>"""
text03#0,"""Pets also have their own HP.<br>It decreases when they're damaged.<br><br>A pet whose HP is zero cannot right for a while.<br><br>Thus, when HP is low, swap to another pet for a while to recover HP<br>or use a Resta, a recovery technique, from your subpalette."""
text04#0,"""<yellow>サブパレット<c>に登録されている<br>回復薬「モノメイト」を使ってみましょう。<br><br>「モノメイト」のアイコンを<br>タッチすることで使用することができます。"""
text100#0,"""Recover using a Monomate!"""
text1000#0,"""Recover using a Monomate on <%SubPalette1>!"""
text1001#0,"""Recover using a Monomate with <%SubPalette>!"""
text201#0,"""Recover using a Monomate!"""
text202#0,"""Recover using a Monomate!"""
text203#0,"""Use from subpalette: <%SubPalette1>"""
text204#0,"""Use from subpalette: <%SubPalette>"""
text205#0,"""Use Subpalette:<br>Touch the Icon"""
